Book_Description,Bank_Description,Amount,Match_Status
Staff Welfare,Loan EMI,86637,Not Matched
Laptop Purchase,Computer Purchase,61403,Matched
GST Payment,Unknown Transaction,84389,Not Matched
Bank Charges,Bank Service Charges,85845,Matched
Advertising Expense,UPI Payment,38713,Not Matched
Advertising Expense,Personal Transfer,26274,Not Matched
Salary Paid,Salary Transfer,32002,Matched
Staff Welfare,Unknown Transaction,53837,Not Matched
Internet Expense,Internet Bill Payment,30629,Matched
Stationery Purchase,UPI Payment,72962,Not Matched
Electricity Bill,Electricity Payment,19515,Matched
Salary Paid,ATM Withdrawal,52970,Not Matched
Stationery Purchase,ATM Withdrawal,46038,Not Matched
Bank Charges,Bank Service Charges,72277,Matched
Customer Receipt,Customer Payment,50619,Matched
Salary Paid,Salary Transfer,61714,Matched
Electricity Bill,Electricity Payment,32615,Matched
Internet Expense,Internet Bill Payment,2919,Matched
Fuel Expense,Cheque Bounce Charge,64604,Not Matched
GST Payment,UPI Payment,55177,Not Matched
Salary Paid,Salary Transfer,92521,Matched
Office Rent,Interest Debit,37467,Not Matched
Advertising Expense,ATM Withdrawal,34558,Not Matched
GST Payment,Interest Debit,37161,Not Matched
GST Payment,Cheque Bounce Charge,11084,Not Matched
Bank Charges,Bank Service Charges,34888,Matched
Consultancy Fees,Personal Transfer,60272,Not Matched
Electricity Bill,Electricity Payment,61259,Matched
Insurance Premium,Insurance Payment,97357,Matched
Customer Receipt,Customer Payment,76513,Matched
Insurance Premium,Insurance Payment,97009,Matched
Office Rent,Rent Payment,10790,Matched
Salary Paid,Salary Transfer,38933,Matched
Electricity Bill,Electricity Payment,51252,Matched
Consultancy Fees,Interest Debit,31564,Not Matched
Insurance Premium,Insurance Payment,47337,Matched
Salary Paid,ATM Withdrawal,23814,Not Matched
Office Rent,ATM Withdrawal,94600,Not Matched
Advertising Expense,ATM Withdrawal,21843,Not Matched
Internet Expense,Internet Bill Payment,39085,Matched
Software Subscription,Software Payment,37177,Matched
Fuel Expense,UPI Payment,41276,Not Matched
Laptop Purchase,Computer Purchase,43518,Matched
Customer Receipt,Customer Payment,53790,Matched
Staff Welfare,Unknown Transaction,17115,Not Matched
Software Subscription,Software Payment,73024,Matched
Software Subscription,Software Payment,77564,Matched
Insurance Premium,Insurance Payment,59570,Matched
Software Subscription,Software Payment,47776,Matched
Fuel Expense,Personal Transfer,66233,Not Matched
Travel Expense,Investment Transfer,25088,Not Matched
Software Subscription,Software Payment,88658,Matched
Staff Welfare,Personal Transfer,23128,Not Matched
Software Subscription,Software Payment,73988,Matched
Office Rent,Rent Payment,5728,Matched
Laptop Purchase,Unknown Transaction,54374,Not Matched
Stationery Purchase,ATM Withdrawal,39327,Not Matched
Fuel Expense,Cheque Bounce Charge,12140,Not Matched
Laptop Purchase,Credit Card Payment,65872,Not Matched
Internet Expense,Internet Bill Payment,82031,Matched
Staff Welfare,Investment Transfer,94246,Not Matched
Laptop Purchase,Computer Purchase,49117,Matched
Staff Welfare,UPI Payment,21844,Not Matched
Advertising Expense,Cash Withdrawal,92634,Not Matched
Consultancy Fees,Interest Debit,47000,Not Matched
Travel Expense,Unknown Transaction,35236,Not Matched
Laptop Purchase,Computer Purchase,64264,Matched
Salary Paid,UPI Payment,97827,Not Matched
Insurance Premium,Insurance Payment,45849,Matched
Stationery Purchase,Personal Transfer,27292,Not Matched
Salary Paid,Loan EMI,96281,Not Matched
Software Subscription,Software Payment,80385,Matched
Fuel Expense,Investment Transfer,40876,Not Matched
Consultancy Fees,Credit Card Payment,36099,Not Matched
Bank Charges,Bank Service Charges,58043,Matched
Office Rent,Rent Payment,74466,Matched
Fuel Expense,Cash Withdrawal,17038,Not Matched
Insurance Premium,Insurance Payment,16458,Matched
Software Subscription,Software Payment,80998,Matched
Laptop Purchase,Investment Transfer,10820,Not Matched
GST Payment,GST Challan,94830,Matched
Salary Paid,Salary Transfer,78725,Matched
Stationery Purchase,Cheque Bounce Charge,59436,Not Matched
Laptop Purchase,Unknown Transaction,71904,Not Matched
Office Rent,Cheque Bounce Charge,23856,Not Matched
Stationery Purchase,Credit Card Payment,59548,Not Matched
Travel Expense,Cash Withdrawal,54574,Not Matched
Insurance Premium,Insurance Payment,62634,Matched
Customer Receipt,Customer Payment,74055,Matched
Consultancy Fees,Unknown Transaction,20840,Not Matched
Travel Expense,Cash Withdrawal,12337,Not Matched
GST Payment,UPI Payment,60105,Not Matched
Electricity Bill,Electricity Payment,67815,Matched
Customer Receipt,Customer Payment,67781,Matched
Staff Welfare,Personal Transfer,17686,Not Matched
Salary Paid,ATM Withdrawal,1592,Not Matched
Bank Charges,Bank Service Charges,16682,Matched
Fuel Expense,Cheque Bounce Charge,9423,Not Matched
Travel Expense,Loan EMI,9563,Not Matched
Advertising Expense,Interest Debit,37987,Not Matched
Electricity Bill,Electricity Payment,56497,Matched
GST Payment,GST Challan,19074,Matched
GST Payment,GST Challan,81080,Matched
Advertising Expense,Investment Transfer,88365,Not Matched
Insurance Premium,Insurance Payment,71914,Matched
Insurance Premium,Insurance Payment,35024,Matched
GST Payment,GST Challan,17073,Matched
Customer Receipt,Customer Payment,44546,Matched
Salary Paid,Salary Transfer,96673,Matched
Electricity Bill,Electricity Payment,23114,Matched
Electricity Bill,Electricity Payment,91176,Matched
Office Rent,ATM Withdrawal,83153,Not Matched
Stationery Purchase,Unknown Transaction,20698,Not Matched
GST Payment,Cash Withdrawal,11952,Not Matched
Salary Paid,Salary Transfer,84573,Matched
Internet Expense,Internet Bill Payment,60596,Matched
Consultancy Fees,ATM Withdrawal,19793,Not Matched
Salary Paid,Salary Transfer,73881,Matched
Office Rent,Rent Payment,92060,Matched
Stationery Purchase,Investment Transfer,79815,Not Matched
Salary Paid,Interest Debit,5678,Not Matched
Office Rent,ATM Withdrawal,14810,Not Matched
Salary Paid,Credit Card Payment,59262,Not Matched
Insurance Premium,Insurance Payment,50307,Matched
Insurance Premium,Insurance Payment,30470,Matched
Office Rent,Cheque Bounce Charge,51757,Not Matched
Insurance Premium,Insurance Payment,25312,Matched
Office Rent,Rent Payment,61070,Matched
Fuel Expense,Cash Withdrawal,3705,Not Matched
Laptop Purchase,Computer Purchase,94926,Matched
Staff Welfare,Unknown Transaction,51321,Not Matched
Staff Welfare,Investment Transfer,24060,Not Matched
GST Payment,GST Challan,33628,Matched
Internet Expense,Internet Bill Payment,45954,Matched
Salary Paid,Salary Transfer,17509,Matched
Stationery Purchase,Cash Withdrawal,31636,Not Matched
Travel Expense,Cash Withdrawal,37392,Not Matched
Travel Expense,Credit Card Payment,67425,Not Matched
Office Rent,Cash Withdrawal,19819,Not Matched
Consultancy Fees,Personal Transfer,18638,Not Matched
GST Payment,ATM Withdrawal,27962,Not Matched
GST Payment,GST Challan,28452,Matched
Laptop Purchase,Personal Transfer,65008,Not Matched
Laptop Purchase,Computer Purchase,61232,Matched
GST Payment,Interest Debit,67043,Not Matched
Laptop Purchase,Computer Purchase,80097,Matched
Software Subscription,Software Payment,45222,Matched
GST Payment,ATM Withdrawal,59888,Not Matched
Electricity Bill,Electricity Payment,33051,Matched
GST Payment,GST Challan,92911,Matched
Salary Paid,Cheque Bounce Charge,51145,Not Matched
Insurance Premium,Insurance Payment,32549,Matched
Internet Expense,Internet Bill Payment,1364,Matched
Staff Welfare,Personal Transfer,12845,Not Matched
Internet Expense,Internet Bill Payment,26037,Matched
Salary Paid,Salary Transfer,18237,Matched
Bank Charges,Bank Service Charges,71812,Matched
Laptop Purchase,ATM Withdrawal,84258,Not Matched
Laptop Purchase,Computer Purchase,12301,Matched
Consultancy Fees,ATM Withdrawal,74342,Not Matched
Salary Paid,Salary Transfer,65389,Matched
Office Rent,Rent Payment,70218,Matched
Salary Paid,Salary Transfer,84003,Matched
Office Rent,Cash Withdrawal,30179,Not Matched
Consultancy Fees,Investment Transfer,85949,Not Matched
Advertising Expense,Cash Withdrawal,25278,Not Matched
GST Payment,Interest Debit,26507,Not Matched
Advertising Expense,Interest Debit,71031,Not Matched
Insurance Premium,Insurance Payment,49753,Matched
Laptop Purchase,Unknown Transaction,73639,Not Matched
Advertising Expense,Cheque Bounce Charge,67100,Not Matched
Software Subscription,Software Payment,43669,Matched
Office Rent,Credit Card Payment,29744,Not Matched
Advertising Expense,Unknown Transaction,73230,Not Matched
Internet Expense,Internet Bill Payment,5780,Matched
Consultancy Fees,Personal Transfer,7126,Not Matched
Laptop Purchase,Computer Purchase,56570,Matched
Consultancy Fees,Cheque Bounce Charge,98643,Not Matched
Customer Receipt,Customer Payment,68085,Matched
Advertising Expense,ATM Withdrawal,33317,Not Matched
Stationery Purchase,Cheque Bounce Charge,81662,Not Matched
Insurance Premium,Insurance Payment,38557,Matched
Stationery Purchase,Cash Withdrawal,51055,Not Matched
Staff Welfare,Credit Card Payment,16306,Not Matched
Laptop Purchase,Computer Purchase,73624,Matched
Salary Paid,Salary Transfer,80422,Matched
Advertising Expense,Loan EMI,19794,Not Matched
Consultancy Fees,ATM Withdrawal,34352,Not Matched
Advertising Expense,Personal Transfer,80810,Not Matched
Consultancy Fees,Unknown Transaction,28347,Not Matched
Internet Expense,Internet Bill Payment,47544,Matched
Customer Receipt,Customer Payment,77466,Matched
Advertising Expense,Loan EMI,61823,Not Matched
Software Subscription,Software Payment,40342,Matched
Insurance Premium,Insurance Payment,32565,Matched
Laptop Purchase,Computer Purchase,93032,Matched
Staff Welfare,UPI Payment,56578,Not Matched
Laptop Purchase,Computer Purchase,91464,Matched
Salary Paid,Salary Transfer,39369,Matched
Staff Welfare,Cash Withdrawal,98719,Not Matched
Staff Welfare,Cash Withdrawal,62006,Not Matched
Insurance Premium,Insurance Payment,45235,Matched
Insurance Premium,Insurance Payment,17274,Matched
GST Payment,GST Challan,15628,Matched
Office Rent,Rent Payment,75317,Matched
Customer Receipt,Customer Payment,76264,Matched
Laptop Purchase,Cash Withdrawal,30470,Not Matched
Travel Expense,ATM Withdrawal,23861,Not Matched
Office Rent,Cheque Bounce Charge,76123,Not Matched
Insurance Premium,Insurance Payment,51979,Matched
Travel Expense,Interest Debit,86436,Not Matched
Bank Charges,Bank Service Charges,80300,Matched
Software Subscription,Software Payment,42603,Matched
Office Rent,Rent Payment,6222,Matched
Bank Charges,Bank Service Charges,48511,Matched
Salary Paid,Cash Withdrawal,72087,Not Matched
Fuel Expense,Personal Transfer,15486,Not Matched
Insurance Premium,Insurance Payment,59895,Matched
Salary Paid,Salary Transfer,96738,Matched
Laptop Purchase,Personal Transfer,36099,Not Matched
Internet Expense,Internet Bill Payment,96352,Matched
Insurance Premium,Insurance Payment,32043,Matched
Electricity Bill,Electricity Payment,78651,Matched
Stationery Purchase,ATM Withdrawal,83838,Not Matched
Travel Expense,Investment Transfer,99626,Not Matched
Office Rent,Cash Withdrawal,63637,Not Matched
Internet Expense,Internet Bill Payment,16141,Matched
Software Subscription,Software Payment,13685,Matched
Stationery Purchase,Credit Card Payment,99148,Not Matched
Insurance Premium,Insurance Payment,50096,Matched
Office Rent,Investment Transfer,59225,Not Matched
Electricity Bill,Electricity Payment,77344,Matched
Salary Paid,Unknown Transaction,4406,Not Matched
Travel Expense,Credit Card Payment,58642,Not Matched
Consultancy Fees,ATM Withdrawal,34702,Not Matched
Electricity Bill,Electricity Payment,98839,Matched
Stationery Purchase,Cheque Bounce Charge,87836,Not Matched
Insurance Premium,Insurance Payment,43073,Matched
Fuel Expense,Investment Transfer,54305,Not Matched
Software Subscription,Software Payment,71743,Matched
GST Payment,GST Challan,7285,Matched
Consultancy Fees,Interest Debit,38591,Not Matched
Customer Receipt,Customer Payment,81506,Matched
Electricity Bill,Electricity Payment,59007,Matched
Stationery Purchase,Unknown Transaction,46515,Not Matched
Insurance Premium,Insurance Payment,27632,Matched
Electricity Bill,Electricity Payment,2183,Matched
Stationery Purchase,UPI Payment,46650,Not Matched
Bank Charges,Bank Service Charges,23987,Matched
GST Payment,ATM Withdrawal,36790,Not Matched
Advertising Expense,Cash Withdrawal,83168,Not Matched
Electricity Bill,Electricity Payment,85671,Matched
Staff Welfare,Cash Withdrawal,76316,Not Matched
Laptop Purchase,Computer Purchase,50198,Matched
Advertising Expense,Cash Withdrawal,58479,Not Matched
Fuel Expense,Cash Withdrawal,88345,Not Matched
Office Rent,Rent Payment,8358,Matched
Customer Receipt,Customer Payment,7574,Matched
Laptop Purchase,Cheque Bounce Charge,27582,Not Matched
Salary Paid,Loan EMI,73823,Not Matched
GST Payment,GST Challan,44339,Matched
Consultancy Fees,Personal Transfer,9131,Not Matched
Software Subscription,Software Payment,5263,Matched
Travel Expense,Loan EMI,76083,Not Matched
Staff Welfare,Personal Transfer,87688,Not Matched
Laptop Purchase,Unknown Transaction,7079,Not Matched
Electricity Bill,Electricity Payment,99144,Matched
Insurance Premium,Insurance Payment,87362,Matched
Software Subscription,Software Payment,28075,Matched
Salary Paid,Interest Debit,90065,Not Matched
GST Payment,Personal Transfer,87429,Not Matched
Advertising Expense,Loan EMI,43238,Not Matched
Software Subscription,Software Payment,31809,Matched
Travel Expense,Unknown Transaction,23694,Not Matched
Laptop Purchase,Cheque Bounce Charge,79522,Not Matched
Salary Paid,ATM Withdrawal,64767,Not Matched
GST Payment,GST Challan,87952,Matched
Insurance Premium,Insurance Payment,88377,Matched
Salary Paid,Loan EMI,98940,Not Matched
Salary Paid,Salary Transfer,40145,Matched
Consultancy Fees,Credit Card Payment,74951,Not Matched
Consultancy Fees,ATM Withdrawal,12689,Not Matched
Electricity Bill,Electricity Payment,92237,Matched
Advertising Expense,Personal Transfer,56098,Not Matched
Advertising Expense,Cash Withdrawal,29472,Not Matched
Laptop Purchase,Computer Purchase,68423,Matched
GST Payment,GST Challan,40676,Matched
Laptop Purchase,Investment Transfer,82932,Not Matched
Internet Expense,Internet Bill Payment,44097,Matched
Office Rent,Rent Payment,31180,Matched
Staff Welfare,UPI Payment,70658,Not Matched
GST Payment,Cash Withdrawal,81558,Not Matched
Advertising Expense,Personal Transfer,34797,Not Matched
GST Payment,Credit Card Payment,17140,Not Matched
Internet Expense,Internet Bill Payment,83268,Matched
Insurance Premium,Insurance Payment,50306,Matched
Insurance Premium,Insurance Payment,87723,Matched
Office Rent,ATM Withdrawal,14147,Not Matched
Stationery Purchase,UPI Payment,32723,Not Matched
Insurance Premium,Insurance Payment,10232,Matched
Office Rent,Rent Payment,3805,Matched
Office Rent,Rent Payment,86911,Matched
Salary Paid,Interest Debit,59784,Not Matched
Advertising Expense,Personal Transfer,5444,Not Matched
Customer Receipt,Customer Payment,69544,Matched
Stationery Purchase,Personal Transfer,32602,Not Matched
Advertising Expense,Loan EMI,86544,Not Matched
Laptop Purchase,Cheque Bounce Charge,98408,Not Matched
Office Rent,Rent Payment,51199,Matched
Electricity Bill,Electricity Payment,38086,Matched
Consultancy Fees,Loan EMI,14314,Not Matched
Laptop Purchase,Credit Card Payment,1867,Not Matched
Fuel Expense,Interest Debit,86054,Not Matched
Laptop Purchase,Computer Purchase,46653,Matched
Travel Expense,Credit Card Payment,74386,Not Matched
GST Payment,GST Challan,25899,Matched
Fuel Expense,UPI Payment,20602,Not Matched
Travel Expense,Unknown Transaction,79840,Not Matched
Travel Expense,Loan EMI,23306,Not Matched
Travel Expense,Loan EMI,60578,Not Matched
Insurance Premium,Insurance Payment,39237,Matched
GST Payment,Cash Withdrawal,59328,Not Matched
Internet Expense,Internet Bill Payment,22213,Matched
Insurance Premium,Insurance Payment,84707,Matched
Laptop Purchase,Computer Purchase,29164,Matched
Laptop Purchase,Computer Purchase,83213,Matched
Fuel Expense,ATM Withdrawal,41178,Not Matched
Internet Expense,Internet Bill Payment,82928,Matched
Travel Expense,Unknown Transaction,96999,Not Matched
Customer Receipt,Customer Payment,9321,Matched
Electricity Bill,Electricity Payment,72166,Matched
Laptop Purchase,Computer Purchase,86243,Matched
Consultancy Fees,Investment Transfer,62849,Not Matched
Internet Expense,Internet Bill Payment,67348,Matched
Office Rent,Rent Payment,42266,Matched
Office Rent,Credit Card Payment,59563,Not Matched
Internet Expense,Internet Bill Payment,69617,Matched
GST Payment,GST Challan,98020,Matched
Laptop Purchase,Credit Card Payment,52686,Not Matched
Advertising Expense,Unknown Transaction,76284,Not Matched
GST Payment,Unknown Transaction,49703,Not Matched
Insurance Premium,Insurance Payment,47035,Matched
Office Rent,ATM Withdrawal,96325,Not Matched
Software Subscription,Software Payment,87984,Matched
GST Payment,GST Challan,16469,Matched
Travel Expense,UPI Payment,69673,Not Matched
Insurance Premium,Insurance Payment,32044,Matched
Consultancy Fees,Loan EMI,14844,Not Matched
Office Rent,ATM Withdrawal,57496,Not Matched
Software Subscription,Software Payment,25431,Matched
Electricity Bill,Electricity Payment,86507,Matched
Salary Paid,Salary Transfer,87644,Matched
Stationery Purchase,Loan EMI,68234,Not Matched
GST Payment,Credit Card Payment,83459,Not Matched
Laptop Purchase,Computer Purchase,92936,Matched
Internet Expense,Internet Bill Payment,5105,Matched
Travel Expense,Unknown Transaction,1757,Not Matched
GST Payment,UPI Payment,99534,Not Matched
Advertising Expense,ATM Withdrawal,65575,Not Matched
Office Rent,Loan EMI,16668,Not Matched
GST Payment,GST Challan,47533,Matched
Insurance Premium,Insurance Payment,62882,Matched
Office Rent,Rent Payment,25953,Matched
Electricity Bill,Electricity Payment,1004,Matched
Software Subscription,Software Payment,80351,Matched
Software Subscription,Software Payment,6394,Matched
Stationery Purchase,ATM Withdrawal,80555,Not Matched
Customer Receipt,Customer Payment,65945,Matched
Fuel Expense,Cheque Bounce Charge,31302,Not Matched
GST Payment,GST Challan,91060,Matched
GST Payment,Personal Transfer,73734,Not Matched
Laptop Purchase,Credit Card Payment,12659,Not Matched
Salary Paid,Salary Transfer,27250,Matched
Travel Expense,Credit Card Payment,35846,Not Matched
Staff Welfare,Loan EMI,83784,Not Matched
Staff Welfare,ATM Withdrawal,31601,Not Matched
Insurance Premium,Insurance Payment,15855,Matched
GST Payment,Personal Transfer,16614,Not Matched
Salary Paid,Personal Transfer,10148,Not Matched
GST Payment,Cash Withdrawal,53987,Not Matched
Salary Paid,Personal Transfer,61421,Not Matched
Software Subscription,Software Payment,18664,Matched
Insurance Premium,Insurance Payment,41383,Matched
Stationery Purchase,Cheque Bounce Charge,18255,Not Matched
Travel Expense,Loan EMI,17687,Not Matched
Customer Receipt,Customer Payment,45026,Matched
Electricity Bill,Electricity Payment,28645,Matched
Salary Paid,Unknown Transaction,44852,Not Matched
Bank Charges,Bank Service Charges,85533,Matched
Stationery Purchase,Cheque Bounce Charge,60320,Not Matched
Laptop Purchase,Interest Debit,16948,Not Matched
Fuel Expense,Credit Card Payment,46481,Not Matched
Electricity Bill,Electricity Payment,89872,Matched
Office Rent,Rent Payment,87524,Matched
Insurance Premium,Insurance Payment,62321,Matched
Customer Receipt,Customer Payment,15851,Matched
Laptop Purchase,Loan EMI,17222,Not Matched
Laptop Purchase,Unknown Transaction,14717,Not Matched
Internet Expense,Internet Bill Payment,2392,Matched
GST Payment,GST Challan,37564,Matched
Software Subscription,Software Payment,82686,Matched
Customer Receipt,Customer Payment,41780,Matched
Internet Expense,Internet Bill Payment,73792,Matched
GST Payment,GST Challan,2375,Matched
Customer Receipt,Customer Payment,21763,Matched
GST Payment,Investment Transfer,31325,Not Matched
Consultancy Fees,UPI Payment,78768,Not Matched
Insurance Premium,Insurance Payment,90248,Matched
Staff Welfare,Cheque Bounce Charge,83626,Not Matched
Consultancy Fees,ATM Withdrawal,45211,Not Matched
Insurance Premium,Insurance Payment,95051,Matched
Insurance Premium,Insurance Payment,7632,Matched
Consultancy Fees,Personal Transfer,64383,Not Matched
Electricity Bill,Electricity Payment,19060,Matched
Bank Charges,Bank Service Charges,1014,Matched
Staff Welfare,ATM Withdrawal,44370,Not Matched
Laptop Purchase,Computer Purchase,85112,Matched
Salary Paid,Salary Transfer,66639,Matched
Insurance Premium,Insurance Payment,9623,Matched
Travel Expense,Loan EMI,12336,Not Matched
Software Subscription,Software Payment,42259,Matched
Laptop Purchase,Computer Purchase,91187,Matched
Fuel Expense,Personal Transfer,65072,Not Matched
Office Rent,Rent Payment,54251,Matched
Laptop Purchase,Cheque Bounce Charge,58000,Not Matched
Salary Paid,Interest Debit,62631,Not Matched
Stationery Purchase,Unknown Transaction,92748,Not Matched
Travel Expense,ATM Withdrawal,48408,Not Matched
Laptop Purchase,Cheque Bounce Charge,55417,Not Matched
Fuel Expense,Loan EMI,96388,Not Matched
Software Subscription,Software Payment,27284,Matched
Advertising Expense,Cash Withdrawal,46178,Not Matched
Staff Welfare,UPI Payment,49321,Not Matched
Office Rent,Rent Payment,85673,Matched
Office Rent,Cheque Bounce Charge,7220,Not Matched
Advertising Expense,Investment Transfer,21589,Not Matched
Travel Expense,Cash Withdrawal,65682,Not Matched
Software Subscription,Software Payment,46818,Matched
Electricity Bill,Electricity Payment,80460,Matched
Salary Paid,Cash Withdrawal,28012,Not Matched
Electricity Bill,Electricity Payment,37353,Matched
Salary Paid,Salary Transfer,66620,Matched
Travel Expense,Unknown Transaction,12117,Not Matched
Electricity Bill,Electricity Payment,26152,Matched
Salary Paid,Loan EMI,7592,Not Matched
Laptop Purchase,Computer Purchase,3217,Matched
Salary Paid,Salary Transfer,73914,Matched
Office Rent,UPI Payment,20347,Not Matched
Software Subscription,Software Payment,68951,Matched
Stationery Purchase,UPI Payment,57991,Not Matched
Internet Expense,Internet Bill Payment,16843,Matched
Stationery Purchase,ATM Withdrawal,41840,Not Matched
Salary Paid,Salary Transfer,60420,Matched
GST Payment,Investment Transfer,99285,Not Matched
Salary Paid,Unknown Transaction,79426,Not Matched
Consultancy Fees,Unknown Transaction,54468,Not Matched
Office Rent,Rent Payment,61170,Matched
GST Payment,Investment Transfer,8131,Not Matched
Fuel Expense,Interest Debit,60314,Not Matched
Bank Charges,Bank Service Charges,63261,Matched
GST Payment,GST Challan,93976,Matched
GST Payment,GST Challan,34129,Matched
Salary Paid,Salary Transfer,77281,Matched
Office Rent,Interest Debit,63983,Not Matched
Electricity Bill,Electricity Payment,65949,Matched
Customer Receipt,Customer Payment,76771,Matched
Insurance Premium,Insurance Payment,52632,Matched
Office Rent,Rent Payment,71371,Matched
Bank Charges,Bank Service Charges,89944,Matched
Software Subscription,Software Payment,73708,Matched
Electricity Bill,Electricity Payment,53566,Matched
Office Rent,Rent Payment,18874,Matched
Internet Expense,Internet Bill Payment,17634,Matched
Salary Paid,Credit Card Payment,55475,Not Matched
Advertising Expense,Cheque Bounce Charge,36712,Not Matched
GST Payment,GST Challan,36866,Matched
Laptop Purchase,Computer Purchase,89176,Matched
Insurance Premium,Insurance Payment,2683,Matched
Salary Paid,Salary Transfer,24174,Matched
Fuel Expense,Credit Card Payment,97677,Not Matched
Laptop Purchase,Personal Transfer,44314,Not Matched
GST Payment,Loan EMI,11930,Not Matched
Customer Receipt,Customer Payment,8812,Matched
Software Subscription,Software Payment,50509,Matched
Office Rent,Cash Withdrawal,50087,Not Matched
Fuel Expense,UPI Payment,47977,Not Matched
Electricity Bill,Electricity Payment,27550,Matched
GST Payment,GST Challan,38183,Matched
Insurance Premium,Insurance Payment,12332,Matched
Office Rent,Rent Payment,68130,Matched
Laptop Purchase,ATM Withdrawal,5348,Not Matched
Electricity Bill,Electricity Payment,83164,Matched
Staff Welfare,UPI Payment,2769,Not Matched
Customer Receipt,Customer Payment,52619,Matched
