Book_Description,Bank_Description,Amount,Match_Status
Customer Receipt,Customer Payment,58845,Matched
Salary Paid,Salary Transfer,64480,Matched
Advertising Expense,Interest Debit,35861,Not Matched
Salary Paid,Salary Transfer,62474,Matched
Laptop Purchase,Investment Transfer,9813,Not Matched
Insurance Premium,Insurance Payment,46132,Matched
Consultancy Fees,Loan EMI,64997,Not Matched
Salary Paid,Salary Transfer,24494,Matched
Laptop Purchase,Computer Purchase,84820,Matched
Staff Welfare,Unknown Transaction,83284,Not Matched
Travel Expense,ATM Withdrawal,60239,Not Matched
Advertising Expense,UPI Payment,34436,Not Matched
Stationery Purchase,Loan EMI,2244,Not Matched
Office Rent,Rent Payment,4062,Matched
Staff Welfare,Cheque Bounce Charge,3111,Not Matched
Consultancy Fees,Cash Withdrawal,97616,Not Matched
Salary Paid,Salary Transfer,85798,Matched
Salary Paid,Salary Transfer,84035,Matched
Internet Expense,Internet Bill Payment,23259,Matched
Travel Expense,Personal Transfer,41940,Not Matched
GST Payment,Interest Debit,9963,Not Matched
Staff Welfare,ATM Withdrawal,27167,Not Matched
Salary Paid,Salary Transfer,27253,Matched
Internet Expense,Internet Bill Payment,24235,Matched
Laptop Purchase,Cash Withdrawal,75156,Not Matched
Consultancy Fees,ATM Withdrawal,18687,Not Matched
GST Payment,Loan EMI,63774,Not Matched
Bank Charges,Bank Service Charges,3420,Matched
Staff Welfare,Interest Debit,30550,Not Matched
Electricity Bill,Electricity Payment,71634,Matched
Office Rent,Rent Payment,42191,Matched
GST Payment,GST Challan,99183,Matched
GST Payment,GST Challan,8144,Matched
Insurance Premium,Insurance Payment,32900,Matched
Insurance Premium,Insurance Payment,79377,Matched
Salary Paid,Interest Debit,30443,Not Matched
Advertising Expense,UPI Payment,10679,Not Matched
Staff Welfare,UPI Payment,71479,Not Matched
Electricity Bill,Electricity Payment,97185,Matched
Electricity Bill,Electricity Payment,40565,Matched
Software Subscription,Software Payment,92537,Matched
GST Payment,Cheque Bounce Charge,94574,Not Matched
Advertising Expense,Loan EMI,66533,Not Matched
Internet Expense,Internet Bill Payment,57434,Matched
GST Payment,GST Challan,59986,Matched
Staff Welfare,Credit Card Payment,91962,Not Matched
Customer Receipt,Customer Payment,95381,Matched
Stationery Purchase,Interest Debit,36969,Not Matched
Consultancy Fees,ATM Withdrawal,62083,Not Matched
GST Payment,Loan EMI,47381,Not Matched
Fuel Expense,ATM Withdrawal,6754,Not Matched
Laptop Purchase,Computer Purchase,71812,Matched
Salary Paid,Salary Transfer,78670,Matched
Consultancy Fees,Cheque Bounce Charge,40112,Not Matched
Staff Welfare,Unknown Transaction,50496,Not Matched
Travel Expense,Unknown Transaction,60702,Not Matched
Customer Receipt,Customer Payment,39548,Matched
Bank Charges,Bank Service Charges,58057,Matched
Bank Charges,Bank Service Charges,64777,Matched
Fuel Expense,ATM Withdrawal,54457,Not Matched
Office Rent,Rent Payment,39250,Matched
GST Payment,Investment Transfer,56195,Not Matched
Office Rent,ATM Withdrawal,8055,Not Matched
Salary Paid,Cash Withdrawal,47270,Not Matched
Office Rent,Rent Payment,23844,Matched
Fuel Expense,Loan EMI,32391,Not Matched
Insurance Premium,Insurance Payment,8965,Matched
Stationery Purchase,Loan EMI,16512,Not Matched
Office Rent,Rent Payment,93743,Matched
GST Payment,GST Challan,54197,Matched
Laptop Purchase,Computer Purchase,73759,Matched
Staff Welfare,UPI Payment,63630,Not Matched
Travel Expense,UPI Payment,20424,Not Matched
Internet Expense,Internet Bill Payment,34233,Matched
Salary Paid,Investment Transfer,22897,Not Matched
GST Payment,GST Challan,10462,Matched
Travel Expense,ATM Withdrawal,72166,Not Matched
Salary Paid,UPI Payment,57884,Not Matched
Salary Paid,Investment Transfer,85646,Not Matched
GST Payment,Loan EMI,15882,Not Matched
GST Payment,GST Challan,57914,Matched
Consultancy Fees,ATM Withdrawal,25619,Not Matched
GST Payment,GST Challan,94640,Matched
Fuel Expense,UPI Payment,6472,Not Matched
Office Rent,Cash Withdrawal,49701,Not Matched
Consultancy Fees,ATM Withdrawal,6473,Not Matched
Fuel Expense,Cash Withdrawal,29975,Not Matched
Travel Expense,Unknown Transaction,63566,Not Matched
Fuel Expense,Cash Withdrawal,75957,Not Matched
Laptop Purchase,Computer Purchase,28890,Matched
Office Rent,Rent Payment,10894,Matched
Insurance Premium,Insurance Payment,44735,Matched
Salary Paid,Credit Card Payment,38974,Not Matched
Advertising Expense,Loan EMI,45094,Not Matched
Electricity Bill,Electricity Payment,32102,Matched
Laptop Purchase,Computer Purchase,84953,Matched
Consultancy Fees,Investment Transfer,68009,Not Matched
GST Payment,GST Challan,76309,Matched
Salary Paid,Personal Transfer,24249,Not Matched
Consultancy Fees,ATM Withdrawal,87651,Not Matched
GST Payment,Credit Card Payment,65610,Not Matched
GST Payment,GST Challan,69138,Matched
Salary Paid,Cash Withdrawal,74475,Not Matched
Advertising Expense,Credit Card Payment,25517,Not Matched
Internet Expense,Internet Bill Payment,88906,Matched
Insurance Premium,Insurance Payment,45524,Matched
Laptop Purchase,Computer Purchase,24555,Matched
Customer Receipt,Customer Payment,32460,Matched
GST Payment,GST Challan,93318,Matched
Stationery Purchase,Cash Withdrawal,29023,Not Matched
Laptop Purchase,Credit Card Payment,16499,Not Matched
Consultancy Fees,Cheque Bounce Charge,80526,Not Matched
GST Payment,Investment Transfer,72104,Not Matched
Fuel Expense,Credit Card Payment,54311,Not Matched
GST Payment,GST Challan,87496,Matched
Fuel Expense,Investment Transfer,14786,Not Matched
Fuel Expense,Investment Transfer,60210,Not Matched
Bank Charges,Bank Service Charges,98657,Matched
Salary Paid,Salary Transfer,91069,Matched
Office Rent,Cheque Bounce Charge,11799,Not Matched
Staff Welfare,Personal Transfer,91520,Not Matched
Travel Expense,Loan EMI,74831,Not Matched
Laptop Purchase,Cheque Bounce Charge,84908,Not Matched
Stationery Purchase,Unknown Transaction,49481,Not Matched
Software Subscription,Software Payment,42766,Matched
Software Subscription,Software Payment,4283,Matched
Staff Welfare,Unknown Transaction,89962,Not Matched
Consultancy Fees,Interest Debit,29704,Not Matched
GST Payment,GST Challan,68279,Matched
Salary Paid,Salary Transfer,57522,Matched
Travel Expense,Cash Withdrawal,64865,Not Matched
Stationery Purchase,Loan EMI,94167,Not Matched
Office Rent,Loan EMI,34450,Not Matched
Salary Paid,Cash Withdrawal,69337,Not Matched
Salary Paid,Salary Transfer,56100,Matched
Consultancy Fees,UPI Payment,1756,Not Matched
Internet Expense,Internet Bill Payment,36721,Matched
Staff Welfare,Personal Transfer,52550,Not Matched
Salary Paid,Salary Transfer,71297,Matched
Consultancy Fees,Unknown Transaction,66573,Not Matched
Electricity Bill,Electricity Payment,51878,Matched
Internet Expense,Internet Bill Payment,81614,Matched
Consultancy Fees,Loan EMI,30101,Not Matched
Fuel Expense,ATM Withdrawal,43847,Not Matched
GST Payment,GST Challan,4080,Matched
GST Payment,Cash Withdrawal,81658,Not Matched
Advertising Expense,Investment Transfer,74473,Not Matched
Insurance Premium,Insurance Payment,56624,Matched
Internet Expense,Internet Bill Payment,14927,Matched
Office Rent,UPI Payment,19018,Not Matched
Laptop Purchase,Unknown Transaction,47711,Not Matched
Consultancy Fees,Investment Transfer,11301,Not Matched
Internet Expense,Internet Bill Payment,69144,Matched
Software Subscription,Software Payment,45774,Matched
Travel Expense,ATM Withdrawal,91250,Not Matched
Laptop Purchase,Interest Debit,89869,Not Matched
Stationery Purchase,Unknown Transaction,71733,Not Matched
Stationery Purchase,Credit Card Payment,4011,Not Matched
Stationery Purchase,Credit Card Payment,51850,Not Matched
Staff Welfare,Personal Transfer,37837,Not Matched
Consultancy Fees,Cash Withdrawal,91632,Not Matched
Customer Receipt,Customer Payment,15418,Matched
Salary Paid,Unknown Transaction,34313,Not Matched
Staff Welfare,ATM Withdrawal,7969,Not Matched
Office Rent,Rent Payment,30967,Matched
Office Rent,Rent Payment,62716,Matched
Salary Paid,Salary Transfer,78460,Matched
Laptop Purchase,Computer Purchase,91382,Matched
Stationery Purchase,Cash Withdrawal,5756,Not Matched
Electricity Bill,Electricity Payment,63249,Matched
Office Rent,Unknown Transaction,93359,Not Matched
GST Payment,Unknown Transaction,95727,Not Matched
Salary Paid,Salary Transfer,50742,Matched
Laptop Purchase,UPI Payment,69869,Not Matched
Salary Paid,Salary Transfer,85611,Matched
Customer Receipt,Customer Payment,51545,Matched
Salary Paid,Salary Transfer,6306,Matched
Laptop Purchase,Interest Debit,97171,Not Matched
Salary Paid,Salary Transfer,7685,Matched
GST Payment,GST Challan,45693,Matched
Internet Expense,Internet Bill Payment,25084,Matched
Internet Expense,Internet Bill Payment,85552,Matched
Travel Expense,Investment Transfer,77264,Not Matched
Insurance Premium,Insurance Payment,96359,Matched
Office Rent,Rent Payment,68588,Matched
Travel Expense,Credit Card Payment,51957,Not Matched
Staff Welfare,Loan EMI,22806,Not Matched
Staff Welfare,ATM Withdrawal,94201,Not Matched
Software Subscription,Software Payment,41731,Matched
Salary Paid,Cash Withdrawal,90374,Not Matched
GST Payment,Credit Card Payment,51599,Not Matched
Staff Welfare,Cash Withdrawal,57963,Not Matched
Laptop Purchase,Loan EMI,5434,Not Matched
Travel Expense,Credit Card Payment,98697,Not Matched
GST Payment,Investment Transfer,35408,Not Matched
Travel Expense,Interest Debit,12059,Not Matched
Laptop Purchase,Computer Purchase,27523,Matched
Salary Paid,Salary Transfer,28676,Matched
Electricity Bill,Electricity Payment,4200,Matched
Salary Paid,ATM Withdrawal,56779,Not Matched
Advertising Expense,Unknown Transaction,16633,Not Matched
Advertising Expense,UPI Payment,52463,Not Matched
Electricity Bill,Electricity Payment,10786,Matched
Staff Welfare,Interest Debit,75405,Not Matched
Electricity Bill,Electricity Payment,3982,Matched
Bank Charges,Bank Service Charges,70639,Matched
Laptop Purchase,Cash Withdrawal,50751,Not Matched
Salary Paid,ATM Withdrawal,12067,Not Matched
Internet Expense,Internet Bill Payment,70903,Matched
Consultancy Fees,ATM Withdrawal,51680,Not Matched
Software Subscription,Software Payment,25750,Matched
Travel Expense,Cash Withdrawal,85007,Not Matched
Electricity Bill,Electricity Payment,28423,Matched
Office Rent,Rent Payment,48563,Matched
GST Payment,GST Challan,99525,Matched
Salary Paid,Salary Transfer,24852,Matched
GST Payment,GST Challan,46051,Matched
Consultancy Fees,UPI Payment,84808,Not Matched
Software Subscription,Software Payment,38950,Matched
Salary Paid,Salary Transfer,98971,Matched
Salary Paid,Salary Transfer,53468,Matched
Laptop Purchase,Computer Purchase,95764,Matched
Staff Welfare,UPI Payment,27073,Not Matched
Office Rent,Rent Payment,44399,Matched
Laptop Purchase,Computer Purchase,56076,Matched
GST Payment,Cheque Bounce Charge,4019,Not Matched
Office Rent,Rent Payment,90272,Matched
Salary Paid,Cheque Bounce Charge,64066,Not Matched
Internet Expense,Internet Bill Payment,77613,Matched
Salary Paid,Investment Transfer,71998,Not Matched
Fuel Expense,Interest Debit,64559,Not Matched
Salary Paid,Salary Transfer,33378,Matched
Software Subscription,Software Payment,8338,Matched
Customer Receipt,Customer Payment,51044,Matched
Office Rent,Rent Payment,48842,Matched
Laptop Purchase,Computer Purchase,51878,Matched
Salary Paid,Salary Transfer,35101,Matched
Office Rent,Rent Payment,60112,Matched
Software Subscription,Software Payment,68114,Matched
Bank Charges,Bank Service Charges,66226,Matched
Office Rent,UPI Payment,7978,Not Matched
Customer Receipt,Customer Payment,90905,Matched
Laptop Purchase,Loan EMI,18839,Not Matched
Fuel Expense,Cash Withdrawal,46026,Not Matched
Electricity Bill,Electricity Payment,16489,Matched
Internet Expense,Internet Bill Payment,76761,Matched
Laptop Purchase,Computer Purchase,76283,Matched
Laptop Purchase,Investment Transfer,31644,Not Matched
Salary Paid,Salary Transfer,15451,Matched
Insurance Premium,Insurance Payment,41295,Matched
Internet Expense,Internet Bill Payment,44545,Matched
Internet Expense,Internet Bill Payment,99768,Matched
Insurance Premium,Insurance Payment,11416,Matched
Salary Paid,Salary Transfer,18745,Matched
Staff Welfare,Interest Debit,36737,Not Matched
Office Rent,Credit Card Payment,47123,Not Matched
Laptop Purchase,Investment Transfer,56116,Not Matched
Travel Expense,ATM Withdrawal,36384,Not Matched
Fuel Expense,Loan EMI,92467,Not Matched
Laptop Purchase,Computer Purchase,25499,Matched
Stationery Purchase,Personal Transfer,94101,Not Matched
Bank Charges,Bank Service Charges,6008,Matched
Office Rent,Interest Debit,49631,Not Matched
Consultancy Fees,Credit Card Payment,53667,Not Matched
Salary Paid,Salary Transfer,54827,Matched
Staff Welfare,Investment Transfer,80094,Not Matched
GST Payment,UPI Payment,11864,Not Matched
Software Subscription,Software Payment,67524,Matched
Laptop Purchase,Computer Purchase,26202,Matched
Advertising Expense,ATM Withdrawal,56762,Not Matched
Consultancy Fees,Credit Card Payment,28717,Not Matched
Staff Welfare,ATM Withdrawal,98628,Not Matched
Office Rent,Cash Withdrawal,32980,Not Matched
Stationery Purchase,Loan EMI,98882,Not Matched
Customer Receipt,Customer Payment,41541,Matched
Salary Paid,Personal Transfer,26489,Not Matched
Electricity Bill,Electricity Payment,7824,Matched
GST Payment,Personal Transfer,98884,Not Matched
Salary Paid,Loan EMI,18192,Not Matched
Advertising Expense,Cheque Bounce Charge,11101,Not Matched
Electricity Bill,Electricity Payment,97137,Matched
Laptop Purchase,Computer Purchase,96751,Matched
Advertising Expense,Loan EMI,21711,Not Matched
Fuel Expense,Personal Transfer,61940,Not Matched
Internet Expense,Internet Bill Payment,91384,Matched
Software Subscription,Software Payment,4517,Matched
Insurance Premium,Insurance Payment,55396,Matched
Internet Expense,Internet Bill Payment,80219,Matched
Electricity Bill,Electricity Payment,26618,Matched
Customer Receipt,Customer Payment,38762,Matched
Office Rent,Rent Payment,23211,Matched
Office Rent,Interest Debit,89678,Not Matched
Insurance Premium,Insurance Payment,55072,Matched
Internet Expense,Internet Bill Payment,33739,Matched
Salary Paid,Cash Withdrawal,38066,Not Matched
Laptop Purchase,Computer Purchase,3713,Matched
Advertising Expense,ATM Withdrawal,10224,Not Matched
Stationery Purchase,Credit Card Payment,58177,Not Matched
Insurance Premium,Insurance Payment,30299,Matched
Stationery Purchase,Credit Card Payment,31587,Not Matched
Electricity Bill,Electricity Payment,52483,Matched
Electricity Bill,Electricity Payment,61189,Matched
GST Payment,GST Challan,10338,Matched
Salary Paid,UPI Payment,39429,Not Matched
Salary Paid,Interest Debit,10394,Not Matched
GST Payment,GST Challan,53206,Matched
Electricity Bill,Electricity Payment,94187,Matched
Laptop Purchase,Cheque Bounce Charge,19415,Not Matched
Internet Expense,Internet Bill Payment,50162,Matched
Insurance Premium,Insurance Payment,86667,Matched
Staff Welfare,Personal Transfer,81565,Not Matched
Salary Paid,Salary Transfer,43559,Matched
Insurance Premium,Insurance Payment,26171,Matched
Staff Welfare,UPI Payment,3008,Not Matched
Electricity Bill,Electricity Payment,79096,Matched
Insurance Premium,Insurance Payment,76216,Matched
Staff Welfare,Personal Transfer,39785,Not Matched
GST Payment,GST Challan,98490,Matched
Travel Expense,Credit Card Payment,28440,Not Matched
Salary Paid,Salary Transfer,31463,Matched
Fuel Expense,Loan EMI,91724,Not Matched
Office Rent,Investment Transfer,59387,Not Matched
Staff Welfare,Cash Withdrawal,91696,Not Matched
Staff Welfare,UPI Payment,78692,Not Matched
Salary Paid,Personal Transfer,15450,Not Matched
Travel Expense,ATM Withdrawal,5121,Not Matched
Fuel Expense,Credit Card Payment,99497,Not Matched
Office Rent,Rent Payment,29284,Matched
Advertising Expense,Cheque Bounce Charge,31090,Not Matched
Internet Expense,Internet Bill Payment,62867,Matched
Internet Expense,Internet Bill Payment,85936,Matched
GST Payment,GST Challan,85613,Matched
Salary Paid,Investment Transfer,31020,Not Matched
Fuel Expense,Investment Transfer,72314,Not Matched
Bank Charges,Bank Service Charges,32944,Matched
Office Rent,Rent Payment,53171,Matched
Salary Paid,Investment Transfer,99282,Not Matched
Software Subscription,Software Payment,71955,Matched
Customer Receipt,Customer Payment,55640,Matched
Office Rent,Rent Payment,6922,Matched
Laptop Purchase,Computer Purchase,12593,Matched
Electricity Bill,Electricity Payment,64800,Matched
Laptop Purchase,Computer Purchase,9387,Matched
Laptop Purchase,Investment Transfer,82569,Not Matched
Electricity Bill,Electricity Payment,15729,Matched
Laptop Purchase,Cheque Bounce Charge,48634,Not Matched
Customer Receipt,Customer Payment,46406,Matched
Bank Charges,Bank Service Charges,28148,Matched
Staff Welfare,Loan EMI,29229,Not Matched
Electricity Bill,Electricity Payment,73600,Matched
Insurance Premium,Insurance Payment,4197,Matched
Customer Receipt,Customer Payment,96634,Matched
Electricity Bill,Electricity Payment,53089,Matched
Advertising Expense,ATM Withdrawal,20941,Not Matched
Office Rent,Cash Withdrawal,44102,Not Matched
Software Subscription,Software Payment,5689,Matched
Salary Paid,Investment Transfer,75573,Not Matched
GST Payment,GST Challan,46355,Matched
Laptop Purchase,Computer Purchase,9756,Matched
Bank Charges,Bank Service Charges,9573,Matched
Office Rent,Rent Payment,71730,Matched
Stationery Purchase,Credit Card Payment,18197,Not Matched
Office Rent,Unknown Transaction,2446,Not Matched
Bank Charges,Bank Service Charges,69401,Matched
Bank Charges,Bank Service Charges,53668,Matched
Fuel Expense,Cheque Bounce Charge,22187,Not Matched
GST Payment,GST Challan,87907,Matched
Bank Charges,Bank Service Charges,96912,Matched
Customer Receipt,Customer Payment,38747,Matched
Staff Welfare,Cash Withdrawal,17359,Not Matched
Advertising Expense,Loan EMI,30926,Not Matched
Salary Paid,Salary Transfer,81471,Matched
Electricity Bill,Electricity Payment,3983,Matched
Travel Expense,Credit Card Payment,77871,Not Matched
Customer Receipt,Customer Payment,88405,Matched
Consultancy Fees,Loan EMI,63764,Not Matched
Software Subscription,Software Payment,82966,Matched
Consultancy Fees,Cheque Bounce Charge,98418,Not Matched
Travel Expense,Investment Transfer,52074,Not Matched
Office Rent,UPI Payment,6572,Not Matched
Bank Charges,Bank Service Charges,89395,Matched
Salary Paid,Salary Transfer,10623,Matched
Customer Receipt,Customer Payment,25871,Matched
Customer Receipt,Customer Payment,39248,Matched
GST Payment,GST Challan,63059,Matched
Fuel Expense,Interest Debit,2933,Not Matched
Salary Paid,Personal Transfer,2366,Not Matched
Salary Paid,ATM Withdrawal,71129,Not Matched
Consultancy Fees,Cheque Bounce Charge,8646,Not Matched
Advertising Expense,Credit Card Payment,56602,Not Matched
Office Rent,Rent Payment,39291,Matched
GST Payment,Unknown Transaction,18076,Not Matched
Insurance Premium,Insurance Payment,62209,Matched
Salary Paid,Cheque Bounce Charge,35189,Not Matched
Electricity Bill,Electricity Payment,74934,Matched
Laptop Purchase,Computer Purchase,17951,Matched
Laptop Purchase,Personal Transfer,53883,Not Matched
Office Rent,Interest Debit,94283,Not Matched
Office Rent,Rent Payment,38751,Matched
Bank Charges,Bank Service Charges,16619,Matched
Insurance Premium,Insurance Payment,28901,Matched
Staff Welfare,Cash Withdrawal,50453,Not Matched
Internet Expense,Internet Bill Payment,57483,Matched
Office Rent,Unknown Transaction,99750,Not Matched
Bank Charges,Bank Service Charges,6511,Matched
Laptop Purchase,Computer Purchase,41185,Matched
Laptop Purchase,Computer Purchase,23828,Matched
Laptop Purchase,UPI Payment,49753,Not Matched
Consultancy Fees,Personal Transfer,35331,Not Matched
Software Subscription,Software Payment,38101,Matched
Electricity Bill,Electricity Payment,95459,Matched
Fuel Expense,Loan EMI,11167,Not Matched
Laptop Purchase,Loan EMI,72323,Not Matched
Office Rent,Rent Payment,13553,Matched
Office Rent,Investment Transfer,96870,Not Matched
Salary Paid,Cash Withdrawal,82191,Not Matched
Office Rent,Investment Transfer,54587,Not Matched
Salary Paid,Unknown Transaction,2466,Not Matched
Travel Expense,UPI Payment,28721,Not Matched
Staff Welfare,Investment Transfer,18487,Not Matched
Bank Charges,Bank Service Charges,3975,Matched
Electricity Bill,Electricity Payment,59840,Matched
Laptop Purchase,Computer Purchase,39691,Matched
Stationery Purchase,Unknown Transaction,28716,Not Matched
Travel Expense,Unknown Transaction,34230,Not Matched
Stationery Purchase,UPI Payment,27918,Not Matched
Stationery Purchase,Cash Withdrawal,79999,Not Matched
Fuel Expense,Investment Transfer,26131,Not Matched
Customer Receipt,Customer Payment,25687,Matched
Bank Charges,Bank Service Charges,36345,Matched
Bank Charges,Bank Service Charges,90845,Matched
Advertising Expense,Cheque Bounce Charge,70674,Not Matched
GST Payment,GST Challan,29412,Matched
Internet Expense,Internet Bill Payment,84449,Matched
Internet Expense,Internet Bill Payment,85403,Matched
Consultancy Fees,Loan EMI,15080,Not Matched
Advertising Expense,Credit Card Payment,67088,Not Matched
Advertising Expense,Personal Transfer,43643,Not Matched
Office Rent,Personal Transfer,19909,Not Matched
Salary Paid,Loan EMI,5829,Not Matched
Insurance Premium,Insurance Payment,11064,Matched
Customer Receipt,Customer Payment,8930,Matched
Customer Receipt,Customer Payment,77546,Matched
Consultancy Fees,ATM Withdrawal,25641,Not Matched
Internet Expense,Internet Bill Payment,71873,Matched
GST Payment,Personal Transfer,51214,Not Matched
Salary Paid,Cheque Bounce Charge,52471,Not Matched
GST Payment,ATM Withdrawal,12733,Not Matched
Insurance Premium,Insurance Payment,85685,Matched
Office Rent,Loan EMI,87389,Not Matched
Office Rent,Personal Transfer,30600,Not Matched
Salary Paid,Interest Debit,15434,Not Matched
Staff Welfare,Cash Withdrawal,95588,Not Matched
Office Rent,Unknown Transaction,65240,Not Matched
GST Payment,GST Challan,40457,Matched
Salary Paid,UPI Payment,22525,Not Matched
Fuel Expense,UPI Payment,7191,Not Matched
Insurance Premium,Insurance Payment,19222,Matched
Staff Welfare,ATM Withdrawal,15403,Not Matched
Internet Expense,Internet Bill Payment,97868,Matched
Consultancy Fees,Loan EMI,63359,Not Matched
Consultancy Fees,Interest Debit,29020,Not Matched
Staff Welfare,ATM Withdrawal,88313,Not Matched
Customer Receipt,Customer Payment,75855,Matched
Software Subscription,Software Payment,53672,Matched
Stationery Purchase,Cash Withdrawal,20601,Not Matched
Office Rent,Rent Payment,32949,Matched
Customer Receipt,Customer Payment,59606,Matched
Fuel Expense,ATM Withdrawal,5781,Not Matched
GST Payment,GST Challan,70701,Matched
Staff Welfare,Credit Card Payment,66350,Not Matched
Consultancy Fees,Unknown Transaction,92881,Not Matched
Customer Receipt,Customer Payment,93645,Matched
Office Rent,Rent Payment,38160,Matched
Insurance Premium,Insurance Payment,45880,Matched
GST Payment,GST Challan,24084,Matched
GST Payment,GST Challan,60182,Matched
Staff Welfare,Investment Transfer,39055,Not Matched
Customer Receipt,Customer Payment,52602,Matched
Software Subscription,Software Payment,83883,Matched
Travel Expense,Cheque Bounce Charge,24136,Not Matched
Internet Expense,Internet Bill Payment,47374,Matched
Laptop Purchase,Computer Purchase,48689,Matched
Salary Paid,Investment Transfer,24322,Not Matched
Travel Expense,Cash Withdrawal,71208,Not Matched
Travel Expense,Credit Card Payment,81994,Not Matched
Software Subscription,Software Payment,16333,Matched
Electricity Bill,Electricity Payment,50527,Matched
GST Payment,Investment Transfer,76665,Not Matched
Electricity Bill,Electricity Payment,31913,Matched
Software Subscription,Software Payment,45995,Matched
Salary Paid,Salary Transfer,24111,Matched
Customer Receipt,Customer Payment,95168,Matched
Staff Welfare,Investment Transfer,81631,Not Matched
Laptop Purchase,Cash Withdrawal,41349,Not Matched
Bank Charges,Bank Service Charges,38859,Matched
Office Rent,Rent Payment,1020,Matched
GST Payment,ATM Withdrawal,71380,Not Matched
Customer Receipt,Customer Payment,42392,Matched
Consultancy Fees,Unknown Transaction,70693,Not Matched
Stationery Purchase,UPI Payment,61216,Not Matched
Insurance Premium,Insurance Payment,69352,Matched
Fuel Expense,Cash Withdrawal,10641,Not Matched
