Invoice_Text,Category
Exempt Supply Bill Rs 265026,Exempt Supply
Cash Sale Bill Rs 278124,B2C
GST Liability Payment Rs 330579,GST Payment
Sales Return Credit Note Rs 449130,Credit Note
GST Liability Payment Rs 30601,GST Payment
GST Challan Payment Rs 434926,GST Payment
Sales Return Credit Note Rs 45743,Credit Note
RCM Professional Fees Rs 39607,Reverse Charge
Corporate Invoice for Tata Steel Rs 222120,B2B
GST Liability Payment Rs 146889,GST Payment
GST Invoice to Infosys Rs 352315,B2B
Monthly GST Deposit Rs 10004,GST Payment
Vendor Debit Note Rs 347807,Debit Note
Export Invoice to Japan Rs 239657,Export
Retail Sale Invoice Rs 356832,B2C
Customer Purchase Bill Rs 297384,B2C
Import Purchase Bill Germany Rs 68009,Import
Tax Invoice issued to HCL Rs 2998,B2B
Reverse Charge GST Service Rs 477124,Reverse Charge
Medical Service Exempt Invoice Rs 343203,Exempt Supply
Import Material Invoice Germany Rs 316092,Import
RCM Professional Fees Rs 355000,Reverse Charge
Medical Service Exempt Invoice Rs 248034,Exempt Supply
Debit Note For Short Supply Rs 435003,Debit Note
Exempt Supply Bill Rs 97670,Exempt Supply
Corporate Invoice for Deloitte Rs 497142,B2B
Vendor Debit Note Rs 307307,Debit Note
Credit Adjustment Note Rs 454891,Credit Note
Overseas Supplier Invoice Singapore Rs 429134,Import
GST Invoice to Oracle Rs 346235,B2B
Overseas Supplier Invoice Germany Rs 375014,Import
Credit Note Against Invoice Rs 427589,Credit Note
Export Supply Invoice USA Rs 290660,Export
Customer Credit Note Rs 427595,Credit Note
Debit Note For Short Supply Rs 131246,Debit Note
International Sale to USA Rs 23680,Export
Reverse Charge GST Service Rs 231972,Reverse Charge
GST Liability Payment Rs 9713,GST Payment
Purchase Adjustment Debit Note Rs 109312,Debit Note
Cash Sale Bill Rs 397757,B2C
Corporate Invoice for Wipro Rs 217050,B2B
Healthcare Service Invoice Rs 227829,Exempt Supply
Retail Sale Invoice Rs 413408,B2C
International Sale to Australia Rs 313499,Export
Input GST Refund Rs 308559,GST Refund
Sales Return Credit Note Rs 20305,Credit Note
Export Invoice to UK Rs 47732,Export
Sales Return Credit Note Rs 233899,Credit Note
Wholesale Sale to Wipro Rs 16422,B2B
Reverse Charge GST Service Rs 270363,Reverse Charge
GST Claim Refund Rs 207377,GST Refund
Cash Sale Bill Rs 349725,B2C
GST Refund Received Rs 210297,GST Refund
Retail Sale Invoice Rs 93422,B2C
Credit Adjustment Note Rs 193185,Credit Note
Advocate Invoice RCM Rs 487493,Reverse Charge
GST Liability Payment Rs 65603,GST Payment
Advocate Invoice RCM Rs 254790,Reverse Charge
Debit Note For Freight Rs 27763,Debit Note
Consumer Invoice Rs 488279,B2C
GST Refund Received Rs 239013,GST Refund
Overseas Supplier Invoice Japan Rs 350148,Import
Legal Service Under RCM Rs 450418,Reverse Charge
Debit Note For Short Supply Rs 12048,Debit Note
Exempt Supply Bill Rs 411611,Exempt Supply
Medical Service Exempt Invoice Rs 423025,Exempt Supply
Credit Adjustment Note Rs 147071,Credit Note
Input GST Refund Rs 464219,GST Refund
GST Invoice to HCL Rs 130053,B2B
GST Refund Received Rs 333689,GST Refund
Export GST Refund Rs 175176,GST Refund
Customer Purchase Bill Rs 318662,B2C
GST Challan Payment Rs 33748,GST Payment
Debit Note For Freight Rs 193935,Debit Note
Import Goods From Japan Rs 31723,Import
Consumer Invoice Rs 191386,B2C
Advocate Invoice RCM Rs 177213,Reverse Charge
Import Goods From Singapore Rs 15417,Import
Customer Purchase Bill Rs 487658,B2C
Healthcare Service Invoice Rs 429179,Exempt Supply
Tax Invoice issued to Google Rs 121649,B2B
Sales Return Credit Note Rs 378353,Credit Note
GST Refund Received Rs 111480,GST Refund
Export GST Refund Rs 40221,GST Refund
Legal Service Under RCM Rs 184628,Reverse Charge
Export GST Refund Rs 335798,GST Refund
RCM Professional Fees Rs 99545,Reverse Charge
Export Invoice to Australia Rs 90566,Export
Customer Purchase Bill Rs 156811,B2C
RCM Professional Fees Rs 112952,Reverse Charge
GST Claim Refund Rs 52512,GST Refund
Legal Service Under RCM Rs 43505,Reverse Charge
Customer Purchase Bill Rs 223337,B2C
Retail Sale Invoice Rs 76654,B2C
Exempt Supply Bill Rs 133919,Exempt Supply
Education Service Invoice Rs 422652,Exempt Supply
Import Goods From UK Rs 217295,Import
Monthly GST Deposit Rs 447760,GST Payment
GST Refund Received Rs 37055,GST Refund
Exempt Supply Bill Rs 478069,Exempt Supply
Credit Note Against Invoice Rs 215322,Credit Note
Customer Credit Note Rs 51827,Credit Note
Export Invoice to Germany Rs 148404,Export
GST Challan Payment Rs 160981,GST Payment
Retail Sale Invoice Rs 293126,B2C
Customer Credit Note Rs 469337,Credit Note
Import Material Invoice USA Rs 214663,Import
Customer Purchase Bill Rs 494829,B2C
Import Goods From USA Rs 419809,Import
LUT Export Invoice to Singapore Rs 360659,Export
Import Goods From Japan Rs 242176,Import
Input GST Refund Rs 322305,GST Refund
Debit Note For Freight Rs 22679,Debit Note
Legal Service Under RCM Rs 494060,Reverse Charge
Import Goods From USA Rs 403794,Import
Retail Sale Invoice Rs 223391,B2C
Purchase Adjustment Debit Note Rs 177810,Debit Note
Credit Adjustment Note Rs 437191,Credit Note
Retail Sale Invoice Rs 108905,B2C
Reverse Charge GST Service Rs 282720,Reverse Charge
Exempt Supply Bill Rs 390628,Exempt Supply
Vendor Debit Note Rs 116629,Debit Note
Debit Note For Short Supply Rs 86225,Debit Note
LUT Export Invoice to Singapore Rs 62132,Export
Consumer Invoice Rs 379971,B2C
GST Refund Received Rs 219683,GST Refund
Export Invoice to Japan Rs 50984,Export
Credit Note Against Invoice Rs 192951,Credit Note
Debit Note For Short Supply Rs 14188,Debit Note
Retail Sale Invoice Rs 305157,B2C
Healthcare Service Invoice Rs 136596,Exempt Supply
Exempt Supply Bill Rs 360416,Exempt Supply
Import Material Invoice USA Rs 75643,Import
Export Supply Invoice UK Rs 470858,Export
Credit Adjustment Note Rs 336634,Credit Note
GST Tax Payment Rs 224664,GST Payment
Healthcare Service Invoice Rs 294269,Exempt Supply
Exempt Supply Bill Rs 350566,Exempt Supply
Legal Service Under RCM Rs 70751,Reverse Charge
GST Claim Refund Rs 145051,GST Refund
GST Challan Payment Rs 228168,GST Payment
Retail Sale Invoice Rs 124304,B2C
Legal Service Under RCM Rs 466802,Reverse Charge
Customer Credit Note Rs 369396,Credit Note
GST Claim Refund Rs 463692,GST Refund
International Sale to Australia Rs 372361,Export
Overseas Supplier Invoice USA Rs 3755,Import
GST Liability Payment Rs 5370,GST Payment
Retail Sale Invoice Rs 155585,B2C
GST Invoice to Amazon Rs 443070,B2B
RCM Professional Fees Rs 107164,Reverse Charge
Credit Note Against Invoice Rs 23401,Credit Note
Overseas Supplier Invoice Singapore Rs 435929,Import
Debit Note For Short Supply Rs 356369,Debit Note
Customer Purchase Bill Rs 86572,B2C
Wholesale Sale to TCS Rs 374891,B2B
Export Invoice to Japan Rs 20392,Export
RCM Professional Fees Rs 328121,Reverse Charge
LUT Export Invoice to Japan Rs 482898,Export
RCM Professional Fees Rs 24263,Reverse Charge
Import Purchase Bill Germany Rs 365553,Import
Sales Return Credit Note Rs 450434,Credit Note
Corporate Invoice for Deloitte Rs 80910,B2B
Debit Note For Freight Rs 289923,Debit Note
Medical Service Exempt Invoice Rs 147747,Exempt Supply
Input GST Refund Rs 348520,GST Refund
RCM Professional Fees Rs 70242,Reverse Charge
GST Challan Payment Rs 87410,GST Payment
Retail Sale Invoice Rs 394790,B2C
Legal Service Under RCM Rs 142184,Reverse Charge
Debit Note For Freight Rs 89339,Debit Note
Import Purchase Bill UK Rs 224259,Import
Healthcare Service Invoice Rs 91510,Exempt Supply
Medical Service Exempt Invoice Rs 94598,Exempt Supply
Export Invoice to Germany Rs 129543,Export
GST Tax Payment Rs 79936,GST Payment
Overseas Supplier Invoice UK Rs 293665,Import
GST Tax Payment Rs 206901,GST Payment
Credit Note Against Invoice Rs 372290,Credit Note
Reverse Charge GST Service Rs 32577,Reverse Charge
Monthly GST Deposit Rs 57724,GST Payment
Import Purchase Bill Japan Rs 358843,Import
Healthcare Service Invoice Rs 33783,Exempt Supply
Purchase Adjustment Debit Note Rs 473299,Debit Note
Credit Note Against Invoice Rs 44100,Credit Note
Import Goods From Germany Rs 128223,Import
Education Service Invoice Rs 83268,Exempt Supply
RCM Professional Fees Rs 416536,Reverse Charge
Purchase Adjustment Debit Note Rs 80878,Debit Note
GST Liability Payment Rs 121033,GST Payment
Overseas Supplier Invoice Canada Rs 171305,Import
Customer Purchase Bill Rs 455053,B2C
GST Challan Payment Rs 196377,GST Payment
Customer Purchase Bill Rs 455575,B2C
Wholesale Sale to Oracle Rs 446696,B2B
Export Supply Invoice USA Rs 88295,Export
Debit Note For Freight Rs 142812,Debit Note
Credit Adjustment Note Rs 67361,Credit Note
Import Goods From Singapore Rs 46833,Import
GST Refund Received Rs 179043,GST Refund
Healthcare Service Invoice Rs 172802,Exempt Supply
LUT Export Invoice to Australia Rs 314011,Export
GST Invoice to Tata Steel Rs 215174,B2B
Overseas Supplier Invoice USA Rs 150552,Import
LUT Export Invoice to Japan Rs 415293,Export
Customer Purchase Bill Rs 434642,B2C
GST Claim Refund Rs 93139,GST Refund
GST Liability Payment Rs 410373,GST Payment
Purchase Adjustment Debit Note Rs 292906,Debit Note
Wholesale Sale to Amazon Rs 378261,B2B
Advocate Invoice RCM Rs 55154,Reverse Charge
Tax Invoice issued to Google Rs 227763,B2B
Retail Sale Invoice Rs 320630,B2C
GST Invoice to Reliance Rs 480067,B2B
Overseas Supplier Invoice USA Rs 82881,Import
Exempt Supply Bill Rs 202155,Exempt Supply
Debit Note For Short Supply Rs 219564,Debit Note
Consumer Invoice Rs 123536,B2C
LUT Export Invoice to USA Rs 145685,Export
GST Tax Payment Rs 122066,GST Payment
Credit Adjustment Note Rs 371868,Credit Note
Tax Invoice issued to IBM Rs 100414,B2B
Export Invoice to Germany Rs 119041,Export
Vendor Debit Note Rs 357849,Debit Note
Education Service Invoice Rs 334916,Exempt Supply
Education Service Invoice Rs 50441,Exempt Supply
Export Supply Invoice USA Rs 407439,Export
GST Invoice to Reliance Rs 266507,B2B
Reverse Charge GST Service Rs 75180,Reverse Charge
Retail Sale Invoice Rs 88871,B2C
Healthcare Service Invoice Rs 431077,Exempt Supply
Retail Sale Invoice Rs 31978,B2C
Legal Service Under RCM Rs 126739,Reverse Charge
GST Claim Refund Rs 409681,GST Refund
Reverse Charge GST Service Rs 448943,Reverse Charge
Retail Sale Invoice Rs 287443,B2C
Debit Note For Short Supply Rs 388699,Debit Note
Customer Credit Note Rs 377730,Credit Note
GST Challan Payment Rs 287808,GST Payment
Export Invoice to UK Rs 352607,Export
Import Purchase Bill USA Rs 317629,Import
GST Claim Refund Rs 312003,GST Refund
LUT Export Invoice to Australia Rs 24986,Export
Customer Credit Note Rs 352022,Credit Note
GST Liability Payment Rs 368274,GST Payment
Tax Invoice issued to Tata Steel Rs 486910,B2B
Credit Adjustment Note Rs 341113,Credit Note
Education Service Invoice Rs 12107,Exempt Supply
Credit Adjustment Note Rs 200224,Credit Note
GST Liability Payment Rs 492572,GST Payment
Vendor Debit Note Rs 400402,Debit Note
Retail Sale Invoice Rs 330422,B2C
Debit Note For Freight Rs 95958,Debit Note
Export Invoice to UK Rs 68233,Export
Export GST Refund Rs 21028,GST Refund
Purchase Adjustment Debit Note Rs 421431,Debit Note
Export Supply Invoice Japan Rs 2539,Export
Import Material Invoice Germany Rs 421638,Import
Exempt Supply Bill Rs 114042,Exempt Supply
Monthly GST Deposit Rs 441239,GST Payment
Corporate Invoice for Infosys Rs 218002,B2B
Exempt Supply Bill Rs 230645,Exempt Supply
Corporate Invoice for Adani Rs 460096,B2B
Input GST Refund Rs 354357,GST Refund
Purchase Adjustment Debit Note Rs 287448,Debit Note
Input GST Refund Rs 165221,GST Refund
Cash Sale Bill Rs 241812,B2C
Tax Invoice issued to TCS Rs 231675,B2B
Retail Sale Invoice Rs 107933,B2C
Debit Note For Short Supply Rs 156924,Debit Note
Monthly GST Deposit Rs 157230,GST Payment
Medical Service Exempt Invoice Rs 37499,Exempt Supply
Export Supply Invoice Germany Rs 238717,Export
Legal Service Under RCM Rs 232674,Reverse Charge
Healthcare Service Invoice Rs 303964,Exempt Supply
Exempt Supply Bill Rs 266627,Exempt Supply
Overseas Supplier Invoice UK Rs 440319,Import
LUT Export Invoice to Singapore Rs 228914,Export
GST Refund Received Rs 306871,GST Refund
Consumer Invoice Rs 83573,B2C
Education Service Invoice Rs 497161,Exempt Supply
GST Refund Received Rs 495321,GST Refund
Import Material Invoice Singapore Rs 7716,Import
GST Tax Payment Rs 350363,GST Payment
GST Challan Payment Rs 186790,GST Payment
Tax Invoice issued to Adani Rs 181511,B2B
Consumer Invoice Rs 474582,B2C
RCM Professional Fees Rs 432524,Reverse Charge
Corporate Invoice for Amazon Rs 18266,B2B
GST Invoice to Microsoft Rs 253178,B2B
GST Tax Payment Rs 96454,GST Payment
Export GST Refund Rs 262713,GST Refund
GST Claim Refund Rs 295272,GST Refund
Legal Service Under RCM Rs 451338,Reverse Charge
Export Invoice to UK Rs 367606,Export
Consumer Invoice Rs 361274,B2C
GST Invoice to Oracle Rs 327940,B2B
Legal Service Under RCM Rs 267400,Reverse Charge
Healthcare Service Invoice Rs 115502,Exempt Supply
International Sale to Canada Rs 176744,Export
LUT Export Invoice to Canada Rs 419384,Export
GST Invoice to Microsoft Rs 23096,B2B
Education Service Invoice Rs 410136,Exempt Supply
GST Claim Refund Rs 240055,GST Refund
Overseas Supplier Invoice Canada Rs 348536,Import
Healthcare Service Invoice Rs 12651,Exempt Supply
Debit Note For Short Supply Rs 270744,Debit Note
GST Tax Payment Rs 18155,GST Payment
Customer Credit Note Rs 462934,Credit Note
Tax Invoice issued to Amazon Rs 451161,B2B
Debit Note For Freight Rs 130140,Debit Note
Legal Service Under RCM Rs 266722,Reverse Charge
Monthly GST Deposit Rs 71337,GST Payment
Credit Note Against Invoice Rs 302925,Credit Note
Vendor Debit Note Rs 47828,Debit Note
Export Invoice to Germany Rs 487097,Export
Export GST Refund Rs 226961,GST Refund
GST Refund Received Rs 177539,GST Refund
Education Service Invoice Rs 406108,Exempt Supply
GST Claim Refund Rs 92693,GST Refund
Wholesale Sale to Wipro Rs 462464,B2B
Legal Service Under RCM Rs 414581,Reverse Charge
Corporate Invoice for Reliance Rs 330461,B2B
Consumer Invoice Rs 420266,B2C
Credit Adjustment Note Rs 498992,Credit Note
Export Supply Invoice Canada Rs 197249,Export
Medical Service Exempt Invoice Rs 367928,Exempt Supply
Import Material Invoice USA Rs 52846,Import
Legal Service Under RCM Rs 69077,Reverse Charge
Import Goods From Japan Rs 170146,Import
Export Supply Invoice Canada Rs 86865,Export
Export Invoice to Canada Rs 297225,Export
Export GST Refund Rs 381444,GST Refund
Export Supply Invoice Australia Rs 206340,Export
Customer Purchase Bill Rs 166248,B2C
Reverse Charge GST Service Rs 239686,Reverse Charge
Cash Sale Bill Rs 115161,B2C
Tax Invoice issued to Adani Rs 28491,B2B
Purchase Adjustment Debit Note Rs 29498,Debit Note
RCM Professional Fees Rs 98390,Reverse Charge
Input GST Refund Rs 119206,GST Refund
Cash Sale Bill Rs 421574,B2C
Medical Service Exempt Invoice Rs 386158,Exempt Supply
Sales Return Credit Note Rs 402458,Credit Note
Export Invoice to USA Rs 343572,Export
Advocate Invoice RCM Rs 398350,Reverse Charge
Customer Purchase Bill Rs 345300,B2C
Exempt Supply Bill Rs 466459,Exempt Supply
Export GST Refund Rs 105023,GST Refund
Sales Return Credit Note Rs 493913,Credit Note
Tax Invoice issued to Reliance Rs 339298,B2B
International Sale to Singapore Rs 447191,Export
GST Claim Refund Rs 409485,GST Refund
RCM Professional Fees Rs 462549,Reverse Charge
GST Invoice to Reliance Rs 368606,B2B
Export Invoice to UK Rs 431462,Export
RCM Professional Fees Rs 401603,Reverse Charge
Reverse Charge GST Service Rs 468248,Reverse Charge
GST Tax Payment Rs 475821,GST Payment
Purchase Adjustment Debit Note Rs 490334,Debit Note
Export Invoice to Germany Rs 205734,Export
Customer Purchase Bill Rs 133997,B2C
Overseas Supplier Invoice Singapore Rs 212596,Import
Corporate Invoice for Flipkart Rs 450965,B2B
Import Purchase Bill Canada Rs 157390,Import
International Sale to Canada Rs 28381,Export
Advocate Invoice RCM Rs 328932,Reverse Charge
Customer Purchase Bill Rs 463646,B2C
Vendor Debit Note Rs 164170,Debit Note
Cash Sale Bill Rs 35642,B2C
Input GST Refund Rs 472811,GST Refund
Exempt Supply Bill Rs 256543,Exempt Supply
Wholesale Sale to Reliance Rs 99511,B2B
Legal Service Under RCM Rs 31059,Reverse Charge
Export GST Refund Rs 353083,GST Refund
GST Claim Refund Rs 473619,GST Refund
LUT Export Invoice to Canada Rs 204427,Export
Advocate Invoice RCM Rs 197310,Reverse Charge
Medical Service Exempt Invoice Rs 343193,Exempt Supply
GST Refund Received Rs 191906,GST Refund
GST Claim Refund Rs 28118,GST Refund
Credit Adjustment Note Rs 390936,Credit Note
LUT Export Invoice to Australia Rs 208504,Export
Advocate Invoice RCM Rs 95895,Reverse Charge
GST Refund Received Rs 244902,GST Refund
Import Material Invoice UK Rs 63137,Import
Export Invoice to Japan Rs 107852,Export
GST Claim Refund Rs 245696,GST Refund
Import Purchase Bill Japan Rs 33552,Import
GST Claim Refund Rs 315983,GST Refund
Legal Service Under RCM Rs 185486,Reverse Charge
Legal Service Under RCM Rs 296511,Reverse Charge
Export Invoice to USA Rs 473834,Export
Import Goods From Australia Rs 93028,Import
International Sale to Japan Rs 159928,Export
Sales Return Credit Note Rs 434086,Credit Note
GST Tax Payment Rs 91490,GST Payment
Reverse Charge GST Service Rs 47787,Reverse Charge
Cash Sale Bill Rs 269261,B2C
Export Invoice to Japan Rs 224749,Export
Credit Note Against Invoice Rs 349868,Credit Note
Customer Purchase Bill Rs 425248,B2C
Credit Note Against Invoice Rs 90133,Credit Note
Import Goods From Germany Rs 183666,Import
International Sale to USA Rs 369044,Export
Debit Note For Freight Rs 250866,Debit Note
Medical Service Exempt Invoice Rs 83016,Exempt Supply
Consumer Invoice Rs 184411,B2C
Purchase Adjustment Debit Note Rs 180536,Debit Note
GST Liability Payment Rs 342447,GST Payment
Export Invoice to UK Rs 144251,Export
Import Goods From Germany Rs 428125,Import
Advocate Invoice RCM Rs 243860,Reverse Charge
Sales Return Credit Note Rs 311751,Credit Note
Corporate Invoice for Wipro Rs 287730,B2B
GST Refund Received Rs 281427,GST Refund
Consumer Invoice Rs 44402,B2C
GST Invoice to Adani Rs 260547,B2B
Wholesale Sale to Adani Rs 213766,B2B
RCM Professional Fees Rs 303147,Reverse Charge
Import Material Invoice Australia Rs 82042,Import
Consumer Invoice Rs 83070,B2C
GST Challan Payment Rs 388484,GST Payment
Export Supply Invoice USA Rs 205666,Export
GST Liability Payment Rs 218000,GST Payment
Healthcare Service Invoice Rs 452621,Exempt Supply
GST Tax Payment Rs 38630,GST Payment
Purchase Adjustment Debit Note Rs 355681,Debit Note
Debit Note For Freight Rs 24111,Debit Note
GST Tax Payment Rs 1930,GST Payment
Export Supply Invoice Canada Rs 386579,Export
Input GST Refund Rs 448787,GST Refund
GST Liability Payment Rs 230766,GST Payment
Export Supply Invoice Canada Rs 234761,Export
Education Service Invoice Rs 123246,Exempt Supply
Exempt Supply Bill Rs 379953,Exempt Supply
Debit Note For Freight Rs 30479,Debit Note
Credit Note Against Invoice Rs 459476,Credit Note
Retail Sale Invoice Rs 18388,B2C
Input GST Refund Rs 54452,GST Refund
International Sale to Japan Rs 396641,Export
Corporate Invoice for Microsoft Rs 383476,B2B
Input GST Refund Rs 269269,GST Refund
Import Purchase Bill Japan Rs 326969,Import
GST Claim Refund Rs 393400,GST Refund
Export Invoice to Germany Rs 216271,Export
Credit Adjustment Note Rs 103484,Credit Note
GST Refund Received Rs 91394,GST Refund
Import Material Invoice Canada Rs 428109,Import
GST Challan Payment Rs 260233,GST Payment
Wholesale Sale to Amazon Rs 144746,B2B
GST Challan Payment Rs 1730,GST Payment
Corporate Invoice for Flipkart Rs 492248,B2B
GST Liability Payment Rs 49879,GST Payment
Exempt Supply Bill Rs 225328,Exempt Supply
Advocate Invoice RCM Rs 387343,Reverse Charge
Customer Purchase Bill Rs 81298,B2C
Legal Service Under RCM Rs 391336,Reverse Charge
GST Claim Refund Rs 335322,GST Refund
Export Supply Invoice Japan Rs 2178,Export
Customer Purchase Bill Rs 469886,B2C
Consumer Invoice Rs 306395,B2C
Import Purchase Bill Canada Rs 428758,Import
Vendor Debit Note Rs 175389,Debit Note
Export Invoice to Germany Rs 258681,Export
Cash Sale Bill Rs 15951,B2C
Corporate Invoice for Microsoft Rs 10444,B2B
Sales Return Credit Note Rs 200585,Credit Note
Retail Sale Invoice Rs 419178,B2C
Credit Note Against Invoice Rs 257724,Credit Note
Export Supply Invoice Germany Rs 368085,Export
Export Invoice to Canada Rs 67175,Export
Customer Credit Note Rs 267050,Credit Note
GST Challan Payment Rs 304184,GST Payment
Advocate Invoice RCM Rs 311706,Reverse Charge
International Sale to UK Rs 447888,Export
Import Goods From UK Rs 185989,Import
International Sale to Australia Rs 13360,Export
Customer Purchase Bill Rs 140790,B2C
GST Refund Received Rs 29523,GST Refund
Healthcare Service Invoice Rs 46540,Exempt Supply
Input GST Refund Rs 63212,GST Refund
Customer Purchase Bill Rs 273856,B2C
Export Invoice to Australia Rs 320172,Export
GST Liability Payment Rs 192788,GST Payment
Monthly GST Deposit Rs 105926,GST Payment
Import Goods From Japan Rs 409418,Import
Cash Sale Bill Rs 449715,B2C
Sales Return Credit Note Rs 113235,Credit Note
Cash Sale Bill Rs 27967,B2C
GST Claim Refund Rs 347291,GST Refund
Export Supply Invoice Australia Rs 67858,Export
Medical Service Exempt Invoice Rs 162063,Exempt Supply
Export Supply Invoice USA Rs 459739,Export
Import Goods From Germany Rs 17635,Import
Import Purchase Bill Germany Rs 78035,Import
GST Liability Payment Rs 305540,GST Payment
LUT Export Invoice to UK Rs 71793,Export
Legal Service Under RCM Rs 433678,Reverse Charge
Import Purchase Bill USA Rs 101217,Import
Advocate Invoice RCM Rs 10206,Reverse Charge
LUT Export Invoice to Canada Rs 78843,Export
Credit Adjustment Note Rs 58586,Credit Note
GST Challan Payment Rs 217746,GST Payment
