Invoice_Text,Category
Reverse Charge GST Service Rs 83903,Reverse Charge
Exempt Supply Bill Rs 442409,Exempt Supply
Input GST Refund Rs 81057,GST Refund
Corporate Invoice for Microsoft Rs 471938,B2B
Medical Service Exempt Invoice Rs 35973,Exempt Supply
Debit Note For Freight Rs 230882,Debit Note
GST Invoice to IBM Rs 458418,B2B
Customer Purchase Bill Rs 449825,B2C
Export Invoice to Singapore Rs 369836,Export
GST Refund Received Rs 274164,GST Refund
Exempt Supply Bill Rs 131995,Exempt Supply
Reverse Charge GST Service Rs 370261,Reverse Charge
Credit Note Against Invoice Rs 215337,Credit Note
Consumer Invoice Rs 152348,B2C
Export GST Refund Rs 6905,GST Refund
Debit Note For Freight Rs 243540,Debit Note
Reverse Charge GST Service Rs 227924,Reverse Charge
Retail Sale Invoice Rs 315661,B2C
Reverse Charge GST Service Rs 240044,Reverse Charge
Import Material Invoice Singapore Rs 275061,Import
Import Purchase Bill Canada Rs 121711,Import
Overseas Supplier Invoice Germany Rs 228057,Import
International Sale to Japan Rs 168055,Export
Consumer Invoice Rs 281320,B2C
Sales Return Credit Note Rs 441035,Credit Note
GST Challan Payment Rs 392994,GST Payment
Vendor Debit Note Rs 188384,Debit Note
Healthcare Service Invoice Rs 486471,Exempt Supply
Wholesale Sale to HCL Rs 326958,B2B
Import Goods From Germany Rs 458073,Import
Credit Note Against Invoice Rs 166845,Credit Note
Medical Service Exempt Invoice Rs 312466,Exempt Supply
Export GST Refund Rs 167059,GST Refund
Customer Credit Note Rs 263912,Credit Note
International Sale to Canada Rs 461117,Export
Healthcare Service Invoice Rs 244793,Exempt Supply
Tax Invoice issued to TCS Rs 478863,B2B
GST Challan Payment Rs 347605,GST Payment
Vendor Debit Note Rs 243418,Debit Note
Debit Note For Short Supply Rs 437206,Debit Note
GST Liability Payment Rs 155183,GST Payment
Customer Credit Note Rs 247081,Credit Note
Import Purchase Bill Singapore Rs 200963,Import
Legal Service Under RCM Rs 351009,Reverse Charge
Medical Service Exempt Invoice Rs 126229,Exempt Supply
Exempt Supply Bill Rs 297990,Exempt Supply
Export Invoice to Japan Rs 413190,Export
GST Invoice to Adani Rs 147176,B2B
Consumer Invoice Rs 205818,B2C
Debit Note For Freight Rs 1124,Debit Note
Tax Invoice issued to Wipro Rs 185187,B2B
GST Liability Payment Rs 40453,GST Payment
Reverse Charge GST Service Rs 431738,Reverse Charge
Education Service Invoice Rs 138971,Exempt Supply
Wholesale Sale to Accenture Rs 416957,B2B
Reverse Charge GST Service Rs 445336,Reverse Charge
Export Supply Invoice Canada Rs 151678,Export
Exempt Supply Bill Rs 225276,Exempt Supply
Sales Return Credit Note Rs 336726,Credit Note
Import Material Invoice Japan Rs 151480,Import
Import Material Invoice Australia Rs 26031,Import
Vendor Debit Note Rs 25033,Debit Note
Medical Service Exempt Invoice Rs 470953,Exempt Supply
Customer Credit Note Rs 365579,Credit Note
Purchase Adjustment Debit Note Rs 202311,Debit Note
Tax Invoice issued to Infosys Rs 463090,B2B
GST Liability Payment Rs 35505,GST Payment
Monthly GST Deposit Rs 164990,GST Payment
GST Challan Payment Rs 246017,GST Payment
GST Refund Received Rs 477783,GST Refund
Export Invoice to Australia Rs 432789,Export
Purchase Adjustment Debit Note Rs 219517,Debit Note
Export Invoice to Japan Rs 323168,Export
GST Challan Payment Rs 55881,GST Payment
Healthcare Service Invoice Rs 276785,Exempt Supply
Healthcare Service Invoice Rs 402993,Exempt Supply
Export GST Refund Rs 442770,GST Refund
Exempt Supply Bill Rs 9181,Exempt Supply
Export GST Refund Rs 414680,GST Refund
Cash Sale Bill Rs 450445,B2C
Credit Note Against Invoice Rs 290668,Credit Note
International Sale to USA Rs 1349,Export
Monthly GST Deposit Rs 302775,GST Payment
Advocate Invoice RCM Rs 36966,Reverse Charge
Cash Sale Bill Rs 375584,B2C
Retail Sale Invoice Rs 325680,B2C
Medical Service Exempt Invoice Rs 51132,Exempt Supply
Overseas Supplier Invoice Singapore Rs 265848,Import
Medical Service Exempt Invoice Rs 264732,Exempt Supply
GST Tax Payment Rs 146134,GST Payment
Legal Service Under RCM Rs 95707,Reverse Charge
Corporate Invoice for Wipro Rs 116155,B2B
GST Claim Refund Rs 30745,GST Refund
Exempt Supply Bill Rs 231285,Exempt Supply
Credit Adjustment Note Rs 402249,Credit Note
Credit Adjustment Note Rs 248710,Credit Note
Sales Return Credit Note Rs 160977,Credit Note
International Sale to Australia Rs 31766,Export
Export Invoice to Germany Rs 6052,Export
GST Challan Payment Rs 481986,GST Payment
GST Challan Payment Rs 220941,GST Payment
GST Tax Payment Rs 207187,GST Payment
Debit Note For Short Supply Rs 352973,Debit Note
Input GST Refund Rs 227076,GST Refund
Customer Purchase Bill Rs 188154,B2C
RCM Professional Fees Rs 3908,Reverse Charge
Debit Note For Short Supply Rs 198451,Debit Note
Export Invoice to USA Rs 397416,Export
Sales Return Credit Note Rs 480672,Credit Note
Export GST Refund Rs 301569,GST Refund
Reverse Charge GST Service Rs 350800,Reverse Charge
Export GST Refund Rs 207858,GST Refund
Debit Note For Freight Rs 317580,Debit Note
GST Tax Payment Rs 454133,GST Payment
Sales Return Credit Note Rs 456333,Credit Note
Credit Note Against Invoice Rs 418138,Credit Note
Reverse Charge GST Service Rs 99229,Reverse Charge
GST Challan Payment Rs 88468,GST Payment
Import Purchase Bill Singapore Rs 16792,Import
Import Purchase Bill UK Rs 350733,Import
Healthcare Service Invoice Rs 30882,Exempt Supply
Input GST Refund Rs 162883,GST Refund
GST Refund Received Rs 220843,GST Refund
Vendor Debit Note Rs 305447,Debit Note
Export Invoice to Canada Rs 59170,Export
Monthly GST Deposit Rs 55182,GST Payment
Customer Purchase Bill Rs 182887,B2C
Healthcare Service Invoice Rs 361966,Exempt Supply
Consumer Invoice Rs 157236,B2C
Purchase Adjustment Debit Note Rs 328625,Debit Note
Retail Sale Invoice Rs 417686,B2C
Export Supply Invoice USA Rs 317061,Export
Exempt Supply Bill Rs 262786,Exempt Supply
Exempt Supply Bill Rs 490401,Exempt Supply
Customer Purchase Bill Rs 107087,B2C
GST Challan Payment Rs 252759,GST Payment
GST Claim Refund Rs 379665,GST Refund
Corporate Invoice for Wipro Rs 1639,B2B
Import Purchase Bill Germany Rs 268503,Import
Healthcare Service Invoice Rs 327941,Exempt Supply
Exempt Supply Bill Rs 213914,Exempt Supply
Exempt Supply Bill Rs 233567,Exempt Supply
Cash Sale Bill Rs 243364,B2C
Export Invoice to USA Rs 220149,Export
Debit Note For Freight Rs 416154,Debit Note
Vendor Debit Note Rs 330822,Debit Note
Reverse Charge GST Service Rs 14721,Reverse Charge
GST Challan Payment Rs 303094,GST Payment
Debit Note For Freight Rs 488568,Debit Note
Purchase Adjustment Debit Note Rs 28765,Debit Note
Input GST Refund Rs 235600,GST Refund
Corporate Invoice for Amazon Rs 404195,B2B
Monthly GST Deposit Rs 295469,GST Payment
Medical Service Exempt Invoice Rs 365360,Exempt Supply
Export Supply Invoice Japan Rs 479937,Export
International Sale to Japan Rs 315402,Export
Wholesale Sale to Accenture Rs 157609,B2B
Credit Adjustment Note Rs 122708,Credit Note
Purchase Adjustment Debit Note Rs 372383,Debit Note
Customer Purchase Bill Rs 317277,B2C
Debit Note For Short Supply Rs 397662,Debit Note
Reverse Charge GST Service Rs 444443,Reverse Charge
Corporate Invoice for IBM Rs 343276,B2B
Legal Service Under RCM Rs 227468,Reverse Charge
Customer Purchase Bill Rs 440299,B2C
Wholesale Sale to Accenture Rs 211157,B2B
Import Goods From Australia Rs 162814,Import
Input GST Refund Rs 136642,GST Refund
Sales Return Credit Note Rs 330075,Credit Note
Customer Credit Note Rs 181444,Credit Note
Export Supply Invoice USA Rs 52700,Export
Export Invoice to Germany Rs 205689,Export
Export GST Refund Rs 390772,GST Refund
Customer Purchase Bill Rs 482417,B2C
Customer Credit Note Rs 173401,Credit Note
Exempt Supply Bill Rs 92285,Exempt Supply
GST Challan Payment Rs 182855,GST Payment
Purchase Adjustment Debit Note Rs 381761,Debit Note
Import Purchase Bill Germany Rs 133559,Import
Reverse Charge GST Service Rs 414219,Reverse Charge
Reverse Charge GST Service Rs 419793,Reverse Charge
Advocate Invoice RCM Rs 80069,Reverse Charge
GST Refund Received Rs 302121,GST Refund
Input GST Refund Rs 359360,GST Refund
GST Refund Received Rs 166105,GST Refund
Advocate Invoice RCM Rs 56324,Reverse Charge
Consumer Invoice Rs 446389,B2C
LUT Export Invoice to Japan Rs 353945,Export
Import Purchase Bill Singapore Rs 187387,Import
Vendor Debit Note Rs 475370,Debit Note
GST Tax Payment Rs 387583,GST Payment
RCM Professional Fees Rs 397447,Reverse Charge
GST Invoice to Tata Steel Rs 319489,B2B
GST Challan Payment Rs 283155,GST Payment
Import Material Invoice Canada Rs 275077,Import
Corporate Invoice for Microsoft Rs 303640,B2B
Exempt Supply Bill Rs 376441,Exempt Supply
Exempt Supply Bill Rs 187092,Exempt Supply
Export Invoice to Canada Rs 433449,Export
Healthcare Service Invoice Rs 474905,Exempt Supply
Wholesale Sale to Flipkart Rs 499692,B2B
Export GST Refund Rs 141020,GST Refund
Import Purchase Bill Canada Rs 443265,Import
Overseas Supplier Invoice Australia Rs 275901,Import
Retail Sale Invoice Rs 29786,B2C
Wholesale Sale to HCL Rs 290203,B2B
Sales Return Credit Note Rs 463254,Credit Note
Monthly GST Deposit Rs 137695,GST Payment
Credit Adjustment Note Rs 174235,Credit Note
Corporate Invoice for Amazon Rs 359375,B2B
Import Material Invoice USA Rs 269523,Import
Export Invoice to Canada Rs 388014,Export
Input GST Refund Rs 298079,GST Refund
Corporate Invoice for Tata Steel Rs 84518,B2B
Export Supply Invoice UK Rs 153972,Export
GST Liability Payment Rs 437854,GST Payment
Cash Sale Bill Rs 228107,B2C
Input GST Refund Rs 369342,GST Refund
LUT Export Invoice to Australia Rs 211112,Export
GST Refund Received Rs 423608,GST Refund
GST Liability Payment Rs 152802,GST Payment
Overseas Supplier Invoice UK Rs 51854,Import
GST Invoice to Reliance Rs 448414,B2B
Customer Credit Note Rs 378295,Credit Note
Import Goods From Japan Rs 45187,Import
Sales Return Credit Note Rs 62248,Credit Note
Consumer Invoice Rs 209820,B2C
Credit Note Against Invoice Rs 441974,Credit Note
Customer Purchase Bill Rs 491184,B2C
LUT Export Invoice to UK Rs 260770,Export
Debit Note For Freight Rs 53523,Debit Note
Import Purchase Bill UK Rs 228104,Import
Input GST Refund Rs 480058,GST Refund
Debit Note For Freight Rs 424194,Debit Note
Consumer Invoice Rs 442372,B2C
Import Purchase Bill Japan Rs 222799,Import
GST Invoice to Tata Steel Rs 252348,B2B
GST Challan Payment Rs 487934,GST Payment
Consumer Invoice Rs 21050,B2C
Wholesale Sale to Infosys Rs 275265,B2B
Corporate Invoice for TCS Rs 236569,B2B
Export Supply Invoice Germany Rs 381992,Export
Wholesale Sale to Google Rs 348038,B2B
Import Goods From Japan Rs 275393,Import
GST Tax Payment Rs 246559,GST Payment
GST Challan Payment Rs 13151,GST Payment
Input GST Refund Rs 474212,GST Refund
Monthly GST Deposit Rs 297551,GST Payment
Legal Service Under RCM Rs 80118,Reverse Charge
LUT Export Invoice to Germany Rs 62193,Export
Advocate Invoice RCM Rs 463551,Reverse Charge
Corporate Invoice for Wipro Rs 109962,B2B
Purchase Adjustment Debit Note Rs 104265,Debit Note
Legal Service Under RCM Rs 403433,Reverse Charge
Sales Return Credit Note Rs 69602,Credit Note
GST Tax Payment Rs 337881,GST Payment
Advocate Invoice RCM Rs 488500,Reverse Charge
LUT Export Invoice to Australia Rs 218551,Export
Customer Purchase Bill Rs 67733,B2C
Monthly GST Deposit Rs 194043,GST Payment
Healthcare Service Invoice Rs 441350,Exempt Supply
Vendor Debit Note Rs 57902,Debit Note
Healthcare Service Invoice Rs 374166,Exempt Supply
GST Refund Received Rs 468772,GST Refund
Import Purchase Bill Australia Rs 359538,Import
GST Liability Payment Rs 12751,GST Payment
Retail Sale Invoice Rs 338368,B2C
GST Liability Payment Rs 489349,GST Payment
Purchase Adjustment Debit Note Rs 130809,Debit Note
Export GST Refund Rs 131737,GST Refund
Retail Sale Invoice Rs 459815,B2C
International Sale to UK Rs 252196,Export
Exempt Supply Bill Rs 52958,Exempt Supply
GST Tax Payment Rs 18912,GST Payment
Consumer Invoice Rs 379469,B2C
Export Invoice to USA Rs 91608,Export
Import Goods From Germany Rs 140717,Import
Retail Sale Invoice Rs 246195,B2C
Export Supply Invoice Japan Rs 455986,Export
Credit Note Against Invoice Rs 128767,Credit Note
Tax Invoice issued to Adani Rs 482771,B2B
GST Liability Payment Rs 403663,GST Payment
Import Material Invoice UK Rs 230663,Import
Credit Note Against Invoice Rs 456814,Credit Note
Purchase Adjustment Debit Note Rs 259515,Debit Note
Credit Note Against Invoice Rs 233228,Credit Note
GST Refund Received Rs 391297,GST Refund
Medical Service Exempt Invoice Rs 122485,Exempt Supply
Credit Adjustment Note Rs 195955,Credit Note
Purchase Adjustment Debit Note Rs 458356,Debit Note
Customer Purchase Bill Rs 209457,B2C
Sales Return Credit Note Rs 47662,Credit Note
Export Invoice to Japan Rs 334331,Export
GST Liability Payment Rs 56888,GST Payment
Vendor Debit Note Rs 441426,Debit Note
Customer Purchase Bill Rs 97872,B2C
Import Goods From Australia Rs 183399,Import
Vendor Debit Note Rs 125762,Debit Note
Tax Invoice issued to Adani Rs 469545,B2B
Corporate Invoice for Oracle Rs 455168,B2B
Education Service Invoice Rs 397969,Exempt Supply
Sales Return Credit Note Rs 238840,Credit Note
Cash Sale Bill Rs 323315,B2C
RCM Professional Fees Rs 331357,Reverse Charge
Import Material Invoice Singapore Rs 141958,Import
Credit Adjustment Note Rs 110010,Credit Note
Reverse Charge GST Service Rs 303863,Reverse Charge
Customer Purchase Bill Rs 274666,B2C
Input GST Refund Rs 391871,GST Refund
Wholesale Sale to Google Rs 225980,B2B
Exempt Supply Bill Rs 259853,Exempt Supply
GST Liability Payment Rs 490061,GST Payment
RCM Professional Fees Rs 190316,Reverse Charge
Input GST Refund Rs 324184,GST Refund
Debit Note For Short Supply Rs 168053,Debit Note
GST Tax Payment Rs 210122,GST Payment
Exempt Supply Bill Rs 162495,Exempt Supply
Import Goods From USA Rs 315391,Import
RCM Professional Fees Rs 490222,Reverse Charge
Sales Return Credit Note Rs 32032,Credit Note
Credit Adjustment Note Rs 313562,Credit Note
Corporate Invoice for Reliance Rs 483265,B2B
RCM Professional Fees Rs 493553,Reverse Charge
Export GST Refund Rs 43519,GST Refund
Consumer Invoice Rs 47671,B2C
Credit Adjustment Note Rs 23446,Credit Note
GST Tax Payment Rs 492502,GST Payment
Consumer Invoice Rs 11738,B2C
Overseas Supplier Invoice UK Rs 2918,Import
Import Material Invoice Canada Rs 272058,Import
Sales Return Credit Note Rs 73935,Credit Note
Sales Return Credit Note Rs 349820,Credit Note
GST Invoice to Infosys Rs 5907,B2B
Purchase Adjustment Debit Note Rs 67333,Debit Note
Customer Purchase Bill Rs 348889,B2C
Vendor Debit Note Rs 344650,Debit Note
Credit Adjustment Note Rs 231397,Credit Note
Customer Credit Note Rs 123255,Credit Note
Education Service Invoice Rs 106283,Exempt Supply
Customer Credit Note Rs 194233,Credit Note
Sales Return Credit Note Rs 255912,Credit Note
Import Purchase Bill UK Rs 461559,Import
Retail Sale Invoice Rs 412942,B2C
Reverse Charge GST Service Rs 369553,Reverse Charge
GST Liability Payment Rs 145383,GST Payment
Corporate Invoice for Flipkart Rs 248554,B2B
Debit Note For Short Supply Rs 4912,Debit Note
Credit Note Against Invoice Rs 352105,Credit Note
Customer Credit Note Rs 286333,Credit Note
Overseas Supplier Invoice Germany Rs 377640,Import
Export Supply Invoice Singapore Rs 56007,Export
GST Refund Received Rs 443875,GST Refund
Advocate Invoice RCM Rs 483269,Reverse Charge
Export Invoice to UK Rs 450602,Export
Tax Invoice issued to HCL Rs 245711,B2B
Advocate Invoice RCM Rs 255803,Reverse Charge
Credit Note Against Invoice Rs 313845,Credit Note
Export Invoice to Japan Rs 223852,Export
Wholesale Sale to Deloitte Rs 438332,B2B
Purchase Adjustment Debit Note Rs 373131,Debit Note
GST Refund Received Rs 454027,GST Refund
Corporate Invoice for Adani Rs 149366,B2B
LUT Export Invoice to Australia Rs 373893,Export
Medical Service Exempt Invoice Rs 32770,Exempt Supply
Export Invoice to Germany Rs 104283,Export
Healthcare Service Invoice Rs 76702,Exempt Supply
Import Goods From Singapore Rs 195314,Import
Input GST Refund Rs 356998,GST Refund
Education Service Invoice Rs 412185,Exempt Supply
Monthly GST Deposit Rs 348343,GST Payment
International Sale to UK Rs 485887,Export
International Sale to Singapore Rs 24930,Export
Corporate Invoice for Deloitte Rs 358035,B2B
Cash Sale Bill Rs 360626,B2C
Export Supply Invoice Germany Rs 159120,Export
Input GST Refund Rs 62748,GST Refund
Reverse Charge GST Service Rs 125180,Reverse Charge
GST Liability Payment Rs 388545,GST Payment
Advocate Invoice RCM Rs 386095,Reverse Charge
Vendor Debit Note Rs 130154,Debit Note
Customer Credit Note Rs 472532,Credit Note
Healthcare Service Invoice Rs 327677,Exempt Supply
Credit Note Against Invoice Rs 425331,Credit Note
GST Challan Payment Rs 123760,GST Payment
Import Goods From Australia Rs 276781,Import
Corporate Invoice for Infosys Rs 281114,B2B
Input GST Refund Rs 268045,GST Refund
GST Refund Received Rs 25885,GST Refund
Sales Return Credit Note Rs 392942,Credit Note
LUT Export Invoice to USA Rs 456203,Export
Overseas Supplier Invoice Singapore Rs 161353,Import
GST Refund Received Rs 122438,GST Refund
Import Purchase Bill USA Rs 384483,Import
Export GST Refund Rs 251112,GST Refund
Overseas Supplier Invoice Germany Rs 123349,Import
Customer Purchase Bill Rs 31457,B2C
Credit Note Against Invoice Rs 284920,Credit Note
Monthly GST Deposit Rs 16574,GST Payment
Medical Service Exempt Invoice Rs 89255,Exempt Supply
Wholesale Sale to Infosys Rs 480936,B2B
Tax Invoice issued to IBM Rs 21580,B2B
Healthcare Service Invoice Rs 103113,Exempt Supply
Education Service Invoice Rs 215286,Exempt Supply
Corporate Invoice for Infosys Rs 134007,B2B
Purchase Adjustment Debit Note Rs 28829,Debit Note
Purchase Adjustment Debit Note Rs 31863,Debit Note
Debit Note For Short Supply Rs 131841,Debit Note
Exempt Supply Bill Rs 437618,Exempt Supply
GST Challan Payment Rs 464565,GST Payment
GST Refund Received Rs 259881,GST Refund
Corporate Invoice for Deloitte Rs 281185,B2B
Import Material Invoice Germany Rs 341003,Import
Customer Purchase Bill Rs 146997,B2C
GST Liability Payment Rs 141546,GST Payment
GST Claim Refund Rs 19035,GST Refund
Education Service Invoice Rs 126174,Exempt Supply
Advocate Invoice RCM Rs 205815,Reverse Charge
Monthly GST Deposit Rs 124428,GST Payment
Import Goods From UK Rs 234507,Import
Customer Credit Note Rs 356115,Credit Note
Cash Sale Bill Rs 208694,B2C
Medical Service Exempt Invoice Rs 220725,Exempt Supply
LUT Export Invoice to UK Rs 168588,Export
Credit Adjustment Note Rs 254370,Credit Note
Credit Adjustment Note Rs 151782,Credit Note
Medical Service Exempt Invoice Rs 203907,Exempt Supply
GST Refund Received Rs 238640,GST Refund
Input GST Refund Rs 74833,GST Refund
GST Tax Payment Rs 196138,GST Payment
Medical Service Exempt Invoice Rs 445672,Exempt Supply
Wholesale Sale to Tata Steel Rs 122264,B2B
International Sale to UK Rs 327544,Export
Retail Sale Invoice Rs 11154,B2C
Monthly GST Deposit Rs 401758,GST Payment
Retail Sale Invoice Rs 330495,B2C
Purchase Adjustment Debit Note Rs 163816,Debit Note
Reverse Charge GST Service Rs 66058,Reverse Charge
Export GST Refund Rs 324955,GST Refund
Credit Adjustment Note Rs 449881,Credit Note
Debit Note For Freight Rs 282092,Debit Note
Purchase Adjustment Debit Note Rs 111875,Debit Note
Healthcare Service Invoice Rs 397087,Exempt Supply
Exempt Supply Bill Rs 475261,Exempt Supply
Exempt Supply Bill Rs 298871,Exempt Supply
Credit Adjustment Note Rs 307435,Credit Note
Exempt Supply Bill Rs 178264,Exempt Supply
Debit Note For Freight Rs 21248,Debit Note
Cash Sale Bill Rs 43910,B2C
GST Liability Payment Rs 381834,GST Payment
Customer Purchase Bill Rs 233119,B2C
Legal Service Under RCM Rs 390927,Reverse Charge
GST Challan Payment Rs 404622,GST Payment
Reverse Charge GST Service Rs 172818,Reverse Charge
GST Invoice to Google Rs 74793,B2B
Tax Invoice issued to Reliance Rs 141534,B2B
Education Service Invoice Rs 220740,Exempt Supply
GST Invoice to Adani Rs 102425,B2B
Import Goods From Germany Rs 30774,Import
Purchase Adjustment Debit Note Rs 464438,Debit Note
Consumer Invoice Rs 367369,B2C
GST Liability Payment Rs 117575,GST Payment
Input GST Refund Rs 208990,GST Refund
Credit Adjustment Note Rs 415410,Credit Note
Overseas Supplier Invoice Japan Rs 461613,Import
Consumer Invoice Rs 274112,B2C
Customer Credit Note Rs 266080,Credit Note
Customer Credit Note Rs 285886,Credit Note
Reverse Charge GST Service Rs 360893,Reverse Charge
Wholesale Sale to Wipro Rs 46983,B2B
Sales Return Credit Note Rs 349608,Credit Note
Medical Service Exempt Invoice Rs 315179,Exempt Supply
Export Supply Invoice Singapore Rs 275852,Export
Consumer Invoice Rs 161232,B2C
Input GST Refund Rs 206132,GST Refund
Exempt Supply Bill Rs 93310,Exempt Supply
Vendor Debit Note Rs 420286,Debit Note
Export Supply Invoice USA Rs 8602,Export
Corporate Invoice for Microsoft Rs 65026,B2B
RCM Professional Fees Rs 179969,Reverse Charge
International Sale to UK Rs 275172,Export
Retail Sale Invoice Rs 236543,B2C
Import Material Invoice USA Rs 441221,Import
Overseas Supplier Invoice Singapore Rs 496563,Import
Reverse Charge GST Service Rs 438622,Reverse Charge
Debit Note For Freight Rs 164074,Debit Note
LUT Export Invoice to Canada Rs 360384,Export
Retail Sale Invoice Rs 41039,B2C
Advocate Invoice RCM Rs 364060,Reverse Charge
Cash Sale Bill Rs 22440,B2C
Monthly GST Deposit Rs 171938,GST Payment
Education Service Invoice Rs 95247,Exempt Supply
Tax Invoice issued to IBM Rs 406712,B2B
Exempt Supply Bill Rs 79164,Exempt Supply
Import Material Invoice Canada Rs 381674,Import
Debit Note For Freight Rs 471547,Debit Note
Wholesale Sale to HCL Rs 308814,B2B
Export Invoice to Australia Rs 26553,Export
Export Invoice to UK Rs 489580,Export
Customer Credit Note Rs 219086,Credit Note
Customer Credit Note Rs 352625,Credit Note
