Invoice_Text,Actual,Predicted
GTA transport service Rs 278713,Reverse Charge,Reverse Charge
GST deposited through bank Rs 97232,GST Payment,GST Payment
Credit adjustment invoice Rs 87646,Credit Note,Credit Note
Export of garments to USA Rs 359469,Export,Export
Debit note raised for additional tax Rs 144709,Debit Note,Debit Note
Mobile phone sale bill Rs 218820,B2C,B2C
Export GST refund Rs 273386,GST Refund,GST Refund
Supply of goods to Tata Steel Rs 236399,B2B,B2B
Debit note for transport expenses Rs 263224,Debit Note,Debit Note
Debit note against shortage Rs 170252,Debit Note,Debit Note
School tuition fees Rs 327556,Exempt Supply,Exempt Supply
Retail customer purchase bill Rs 59055,B2C,B2C
GST invoice raised on TCS Rs 39660,B2B,B2B
Sales return credit note Rs 472760,Credit Note,Credit Note
Hardware purchase from Canada Rs 226963,Import,Import
Corporate software license for XYZ Industries Rs 265484,B2B,B2B
Export software service to China Rs 355107,Export,Export
Invoice to TCS Rs 170849,B2B,B2B
Sales return credit note Rs 122073,Credit Note,Credit Note
GST payment challan Rs 474175,GST Payment,GST Payment
GST liability payment Rs 365744,GST Payment,GST Payment
GST liability payment Rs 12937,GST Payment,GST Payment
Hardware purchase from Singapore Rs 33666,Import,Import
GTA transport service Rs 435837,Reverse Charge,Reverse Charge
IT support service to South Korea Rs 465307,Export,Export
Export software service to China Rs 298758,Export,Export
Industrial equipment imported from Canada Rs 254782,Import,Import
Industrial equipment imported from South Korea Rs 470770,Import,Import
Export software service to UK Rs 417426,Export,Export
Corporate software license for Reliance Rs 167237,B2B,B2B
Legal service under reverse charge Rs 281159,Reverse Charge,Reverse Charge
Monthly GST tax payment Rs 256357,GST Payment,GST Payment
Healthcare exempt supply Rs 214307,Exempt Supply,Exempt Supply
Hospital treatment charges Rs 426868,Exempt Supply,Exempt Supply
Export GST refund Rs 302958,GST Refund,GST Refund
Debit note raised for additional tax Rs 5231,Debit Note,Debit Note
Consumer electronics invoice Rs 74882,B2C,B2C
Retail customer purchase bill Rs 195355,B2C,B2C
Retail customer purchase bill Rs 386465,B2C,B2C
GST payment for current month Rs 257523,GST Payment,GST Payment
Industrial equipment imported from South Korea Rs 140341,Import,Import
Debit note against shortage Rs 124867,Debit Note,Debit Note
Refund received under GST Rs 273904,GST Refund,GST Refund
Import electronics from France Rs 123773,Import,Import
Advocate service payment Rs 395273,Reverse Charge,Reverse Charge
Director remuneration Rs 406899,Reverse Charge,Reverse Charge
GST liability payment Rs 348498,GST Payment,GST Payment
GST refund received Rs 33968,GST Refund,GST Refund
Corporate software license for Amazon Rs 447729,B2B,B2B
Export of garments to Singapore Rs 459172,Export,Export
GST payment challan Rs 14479,GST Payment,GST Payment
Healthcare exempt supply Rs 121919,Exempt Supply,Exempt Supply
Healthcare exempt supply Rs 456302,Exempt Supply,Exempt Supply
Import electronics from Germany Rs 443636,Import,Import
Supply of goods to Deloitte Rs 394493,B2B,B2B
Hardware purchase from Canada Rs 284145,Import,Import
Credit note issued against damaged goods Rs 65299,Credit Note,Credit Note
School tuition fees Rs 261978,Exempt Supply,Exempt Supply
Legal service under reverse charge Rs 132255,Reverse Charge,Reverse Charge
GST deposited through bank Rs 437823,GST Payment,GST Payment
GST payment challan Rs 383078,GST Payment,GST Payment
Credit note for cancelled order Rs 325325,Credit Note,Credit Note
Industrial equipment imported from Australia Rs 252896,Import,Import
Export of garments to Singapore Rs 120087,Export,Export
Raw material imported from Canada Rs 464542,Import,Import
Debit note for freight charges Rs 87155,Debit Note,Debit Note
Import machinery from UK Rs 434781,Import,Import
GST liability payment Rs 408839,GST Payment,GST Payment
Invoice to Infosys Rs 61701,B2B,B2B
Import electronics from France Rs 294287,Import,Import
IT support service to Japan Rs 403797,Export,Export
Reverse charge professional service Rs 435279,Reverse Charge,Reverse Charge
Healthcare exempt supply Rs 4381,Exempt Supply,Exempt Supply
Mobile phone sale bill Rs 103190,B2C,B2C
Reverse charge professional service Rs 55293,Reverse Charge,Reverse Charge
Director remuneration Rs 170606,Reverse Charge,Reverse Charge
Credit note issued against damaged goods Rs 167820,Credit Note,Credit Note
Customer return credit note Rs 485487,Credit Note,Credit Note
Export software service to Australia Rs 263500,Export,Export
GST payment for current month Rs 359369,GST Payment,GST Payment
Supply of goods to Amazon Rs 284372,B2B,B2B
Wholesale supply to HCL Rs 76663,B2B,B2B
Refund received under GST Rs 2667,GST Refund,GST Refund
Supplier debit adjustment Rs 429596,Debit Note,Debit Note
Debit note for transport expenses Rs 196389,Debit Note,Debit Note
Debit note against shortage Rs 436950,Debit Note,Debit Note
GST invoice raised on Tata Steel Rs 407491,B2B,B2B
Export of garments to Germany Rs 283767,Export,Export
Mobile phone sale bill Rs 121210,B2C,B2C
Hospital treatment charges Rs 453040,Exempt Supply,Exempt Supply
Credit note for cancelled order Rs 400790,Credit Note,Credit Note
Import machinery from Japan Rs 445445,Import,Import
Import electronics from Singapore Rs 444870,Import,Import
Debit note against shortage Rs 486948,Debit Note,Debit Note
Debit note for transport expenses Rs 424719,Debit Note,Debit Note
Debit note for transport expenses Rs 12480,Debit Note,Debit Note
Legal service under reverse charge Rs 115175,Reverse Charge,Reverse Charge
Hardware purchase from Japan Rs 432522,Import,Import
Hardware purchase from Japan Rs 381511,Import,Import
Supplier debit adjustment Rs 436556,Debit Note,Debit Note
Credit adjustment invoice Rs 20768,Credit Note,Credit Note
Debit note for freight charges Rs 210680,Debit Note,Debit Note
Supply of goods to Flipkart Rs 311998,B2B,B2B
Advocate service payment Rs 196239,Reverse Charge,Reverse Charge
Healthcare exempt supply Rs 429305,Exempt Supply,Exempt Supply
GST invoice raised on ABC Pvt Ltd Rs 41764,B2B,B2B
Sales return credit note Rs 465999,Credit Note,Credit Note
Wholesale supply to ABC Pvt Ltd Rs 336080,B2B,B2B
Director remuneration Rs 334049,Reverse Charge,Reverse Charge
Credit adjustment invoice Rs 105377,Credit Note,Credit Note
Consulting invoice to Germany Rs 22613,Export,Export
Hospital treatment charges Rs 131561,Exempt Supply,Exempt Supply
Advocate service payment Rs 297185,Reverse Charge,Reverse Charge
Consulting invoice to Germany Rs 197257,Export,Export
Reverse charge professional service Rs 257634,Reverse Charge,Reverse Charge
Input GST refund Rs 165898,GST Refund,GST Refund
Agricultural produce sale Rs 42483,Exempt Supply,Exempt Supply
International client invoice Canada Rs 447496,Export,Export
Debit note against shortage Rs 307981,Debit Note,Debit Note
Mobile phone sale bill Rs 311544,B2C,B2C
Invoice to Wipro Rs 168022,B2B,B2B
Debit note for freight charges Rs 92911,Debit Note,Debit Note
Agricultural produce sale Rs 12477,Exempt Supply,Exempt Supply
Educational service invoice Rs 437313,Exempt Supply,Exempt Supply
Supply of goods to Google Rs 49041,B2B,B2B
Customer return credit note Rs 35404,Credit Note,Credit Note
Consulting invoice to Canada Rs 485393,Export,Export
GST payment for current month Rs 234090,GST Payment,GST Payment
Supplier debit adjustment Rs 220117,Debit Note,Debit Note
Debit note for freight charges Rs 213462,Debit Note,Debit Note
Hardware purchase from China Rs 465016,Import,Import
Invoice to XYZ Industries Rs 439581,B2B,B2B
Agricultural produce sale Rs 271283,Exempt Supply,Exempt Supply
IT support service to Singapore Rs 56973,Export,Export
Healthcare exempt supply Rs 19363,Exempt Supply,Exempt Supply
Customer return credit note Rs 376167,Credit Note,Credit Note
Supply of goods to TCS Rs 77916,B2B,B2B
Export of garments to France Rs 293619,Export,Export
Export software service to USA Rs 497549,Export,Export
GST liability payment Rs 117958,GST Payment,GST Payment
Supply of goods to Tech Mahindra Rs 320507,B2B,B2B
Advocate service payment Rs 233068,Reverse Charge,Reverse Charge
GST deposited through bank Rs 237057,GST Payment,GST Payment
Director remuneration Rs 325737,Reverse Charge,Reverse Charge
GTA transport service Rs 384954,Reverse Charge,Reverse Charge
Corporate software license for XYZ Industries Rs 445198,B2B,B2B
IT support service to Singapore Rs 485065,Export,Export
Legal service under reverse charge Rs 493638,Reverse Charge,Reverse Charge
Legal service under reverse charge Rs 71203,Reverse Charge,Reverse Charge
Corporate software license for Deloitte Rs 482031,B2B,B2B
Raw material imported from Canada Rs 269692,Import,Import
Import machinery from Japan Rs 28977,Import,Import
Reverse charge professional service Rs 421056,Reverse Charge,Reverse Charge
School tuition fees Rs 85922,Exempt Supply,Exempt Supply
Mobile phone sale bill Rs 292547,B2C,B2C
IT support service to China Rs 257985,Export,Export
GST payment challan Rs 75664,GST Payment,GST Payment
GST payment challan Rs 13041,GST Payment,GST Payment
Credit adjustment invoice Rs 67982,Credit Note,Credit Note
Reverse charge professional service Rs 426089,Reverse Charge,Reverse Charge
GTA transport service Rs 407852,Reverse Charge,Reverse Charge
Consulting invoice to USA Rs 74436,Export,Export
GST invoice raised on Google Rs 197096,B2B,B2B
Hardware purchase from Japan Rs 103810,Import,Import
Invoice to Tech Mahindra Rs 486694,B2B,B2B
Export of garments to South Korea Rs 117990,Export,Export
Refund received under GST Rs 479928,GST Refund,GST Refund
Director remuneration Rs 304801,Reverse Charge,Reverse Charge
Import machinery from Japan Rs 78493,Import,Import
Debit note raised for additional tax Rs 214322,Debit Note,Debit Note
Customer return credit note Rs 196500,Credit Note,Credit Note
Mobile phone sale bill Rs 140190,B2C,B2C
Agricultural produce sale Rs 432608,Exempt Supply,Exempt Supply
Walk-in customer invoice Rs 177390,B2C,B2C
Import electronics from Germany Rs 417771,Import,Import
Hardware purchase from France Rs 69952,Import,Import
Invoice to Deloitte Rs 358801,B2B,B2B
IT support service to USA Rs 391518,Export,Export
Healthcare exempt supply Rs 209372,Exempt Supply,Exempt Supply
Advocate service payment Rs 406280,Reverse Charge,Reverse Charge
Invoice to Deloitte Rs 409656,B2B,B2B
Import electronics from South Korea Rs 78866,Import,Import
Debit note raised for additional tax Rs 152390,Debit Note,Debit Note
Refund received under GST Rs 315093,GST Refund,GST Refund
Industrial equipment imported from Australia Rs 307132,Import,Import
Invoice to TCS Rs 83964,B2B,B2B
GST payment challan Rs 434199,GST Payment,GST Payment
IT support service to USA Rs 339028,Export,Export
Director remuneration Rs 175291,Reverse Charge,Reverse Charge
GST refund from department Rs 436332,GST Refund,GST Refund
Retail customer purchase bill Rs 150688,B2C,B2C
Educational service invoice Rs 169025,Exempt Supply,Exempt Supply
Export of garments to Singapore Rs 104105,Export,Export
Healthcare exempt supply Rs 442809,Exempt Supply,Exempt Supply
Credit adjustment invoice Rs 13389,Credit Note,Credit Note
Raw material imported from China Rs 400754,Import,Import
Import machinery from Japan Rs 364751,Import,Import
Refund received under GST Rs 186659,GST Refund,GST Refund
GST refund from department Rs 259687,GST Refund,GST Refund
Director remuneration Rs 23736,Reverse Charge,Reverse Charge
Agricultural produce sale Rs 200142,Exempt Supply,Exempt Supply
Export of garments to USA Rs 173385,Export,Export
Mobile phone sale bill Rs 385871,B2C,B2C
Monthly GST tax payment Rs 201811,GST Payment,GST Payment
Hardware purchase from UK Rs 136458,Import,Import
Refund received under GST Rs 184925,GST Refund,GST Refund
GST refund received Rs 320724,GST Refund,GST Refund
Supply of goods to Tech Mahindra Rs 254242,B2B,B2B
Raw material imported from France Rs 203861,Import,Import
IT support service to Germany Rs 224363,Export,Export
Cash sale invoice Rs 269494,B2C,B2C
Hardware purchase from South Korea Rs 83000,Import,Import
GST liability payment Rs 155427,GST Payment,GST Payment
Input GST refund Rs 99139,GST Refund,GST Refund
GST payment challan Rs 440443,GST Payment,GST Payment
Agricultural produce sale Rs 172070,Exempt Supply,Exempt Supply
Hardware purchase from UK Rs 335668,Import,Import
Agricultural produce sale Rs 217096,Exempt Supply,Exempt Supply
Refund received under GST Rs 125941,GST Refund,GST Refund
Credit note for cancelled order Rs 87525,Credit Note,Credit Note
Raw material imported from Germany Rs 164021,Import,Import
Educational service invoice Rs 87249,Exempt Supply,Exempt Supply
Cash sale invoice Rs 157132,B2C,B2C
GST refund from department Rs 185713,GST Refund,GST Refund
Credit note for cancelled order Rs 370339,Credit Note,Credit Note
GST payment for current month Rs 432903,GST Payment,GST Payment
Sales return credit note Rs 495013,Credit Note,Credit Note
GST payment challan Rs 453338,GST Payment,GST Payment
Industrial equipment imported from Australia Rs 12704,Import,Import
Supply of goods to Wipro Rs 408955,B2B,B2B
Mobile phone sale bill Rs 492796,B2C,B2C
Refund received under GST Rs 456007,GST Refund,GST Refund
Customer return credit note Rs 89234,Credit Note,Credit Note
Mobile phone sale bill Rs 364077,B2C,B2C
Debit note for transport expenses Rs 6573,Debit Note,Debit Note
Cash sale invoice Rs 368770,B2C,B2C
Export of garments to Singapore Rs 479715,Export,Export
Cash sale invoice Rs 482892,B2C,B2C
Agricultural produce sale Rs 371728,Exempt Supply,Exempt Supply
Mobile phone sale bill Rs 475662,B2C,B2C
Cash sale invoice Rs 233256,B2C,B2C
Import electronics from South Korea Rs 463091,Import,Import
Debit note against shortage Rs 316487,Debit Note,Debit Note
Reverse charge professional service Rs 431161,Reverse Charge,Reverse Charge
Debit note against shortage Rs 414194,Debit Note,Debit Note
Export of garments to Australia Rs 127057,Export,Export
Debit note raised for additional tax Rs 78986,Debit Note,Debit Note
Hardware purchase from Singapore Rs 277240,Import,Import
GST refund from department Rs 15765,GST Refund,GST Refund
Agricultural produce sale Rs 464470,Exempt Supply,Exempt Supply
Credit note for cancelled order Rs 40687,Credit Note,Credit Note
Consulting invoice to France Rs 286953,Export,Export
Consumer electronics invoice Rs 60750,B2C,B2C
Hardware purchase from Canada Rs 193615,Import,Import
Customer return credit note Rs 374694,Credit Note,Credit Note
GST refund from department Rs 34249,GST Refund,GST Refund
Debit note for freight charges Rs 357395,Debit Note,Debit Note
Director remuneration Rs 141008,Reverse Charge,Reverse Charge
Export GST refund Rs 174108,GST Refund,GST Refund
Export of garments to UK Rs 65422,Export,Export
Director remuneration Rs 427109,Reverse Charge,Reverse Charge
GST liability payment Rs 62819,GST Payment,GST Payment
Advocate service payment Rs 13345,Reverse Charge,Reverse Charge
Credit note for cancelled order Rs 193934,Credit Note,Credit Note
Advocate service payment Rs 103496,Reverse Charge,Reverse Charge
Raw material imported from Japan Rs 266349,Import,Import
Input GST refund Rs 381252,GST Refund,GST Refund
Debit note for transport expenses Rs 177872,Debit Note,Debit Note
Educational service invoice Rs 472552,Exempt Supply,Exempt Supply
Mobile phone sale bill Rs 447976,B2C,B2C
Export software service to Singapore Rs 363426,Export,Export
Refund received under GST Rs 421777,GST Refund,GST Refund
Export GST refund Rs 454955,GST Refund,GST Refund
Monthly GST tax payment Rs 152908,GST Payment,GST Payment
Input GST refund Rs 295164,GST Refund,GST Refund
Debit note against shortage Rs 477317,Debit Note,Debit Note
Debit note raised for additional tax Rs 331224,Debit Note,Debit Note
Supply of goods to TCS Rs 315887,B2B,B2B
Hospital treatment charges Rs 326714,Exempt Supply,Exempt Supply
School tuition fees Rs 272947,Exempt Supply,Exempt Supply
Hardware purchase from France Rs 431949,Import,Import
Wholesale supply to Deloitte Rs 2539,B2B,B2B
Hospital treatment charges Rs 433931,Exempt Supply,Exempt Supply
Invoice to Tech Mahindra Rs 154636,B2B,B2B
Supplier debit adjustment Rs 79600,Debit Note,Debit Note
Input GST refund Rs 189130,GST Refund,GST Refund
Educational service invoice Rs 140598,Exempt Supply,Exempt Supply
Export of garments to Singapore Rs 300765,Export,Export
GST liability payment Rs 140446,GST Payment,GST Payment
International client invoice Canada Rs 313249,Export,Export
Export GST refund Rs 85120,GST Refund,GST Refund
Monthly GST tax payment Rs 232910,GST Payment,GST Payment
Mobile phone sale bill Rs 25802,B2C,B2C
Credit note issued against damaged goods Rs 90430,Credit Note,Credit Note
Credit adjustment invoice Rs 158684,Credit Note,Credit Note
Industrial equipment imported from South Korea Rs 350794,Import,Import
Consumer electronics invoice Rs 304237,B2C,B2C
Customer return credit note Rs 211599,Credit Note,Credit Note
Healthcare exempt supply Rs 180020,Exempt Supply,Exempt Supply
Refund received under GST Rs 391719,GST Refund,GST Refund
School tuition fees Rs 161303,Exempt Supply,Exempt Supply
Credit note issued against damaged goods Rs 141099,Credit Note,Credit Note
Debit note raised for additional tax Rs 198082,Debit Note,Debit Note
Consumer electronics invoice Rs 122565,B2C,B2C
Walk-in customer invoice Rs 100315,B2C,B2C
Debit note against shortage Rs 402063,Debit Note,Debit Note
Input GST refund Rs 183052,GST Refund,GST Refund
Healthcare exempt supply Rs 493032,Exempt Supply,Exempt Supply
Agricultural produce sale Rs 226866,Exempt Supply,Exempt Supply
GST deposited through bank Rs 174687,GST Payment,GST Payment
Hospital treatment charges Rs 332287,Exempt Supply,Exempt Supply
GST payment for current month Rs 412512,GST Payment,GST Payment
Retail customer purchase bill Rs 91017,B2C,B2C
Credit adjustment invoice Rs 281726,Credit Note,Credit Note
International client invoice France Rs 118599,Export,Export
IT support service to China Rs 349466,Export,Export
Invoice to Tata Steel Rs 343209,B2B,B2B
GTA transport service Rs 404512,Reverse Charge,Reverse Charge
Debit note for transport expenses Rs 190737,Debit Note,Debit Note
Healthcare exempt supply Rs 140912,Exempt Supply,Exempt Supply
Retail customer purchase bill Rs 216518,B2C,B2C
Credit adjustment invoice Rs 292936,Credit Note,Credit Note
Credit note issued against damaged goods Rs 28033,Credit Note,Credit Note
Legal service under reverse charge Rs 94874,Reverse Charge,Reverse Charge
Cash sale invoice Rs 493913,B2C,B2C
GST payment challan Rs 192204,GST Payment,GST Payment
Corporate software license for Tata Steel Rs 6096,B2B,B2B
Hardware purchase from Australia Rs 217158,Import,Import
Consumer electronics invoice Rs 163453,B2C,B2C
Import machinery from UK Rs 74629,Import,Import
Invoice to Flipkart Rs 492484,B2B,B2B
GST deposited through bank Rs 309580,GST Payment,GST Payment
Reverse charge professional service Rs 124096,Reverse Charge,Reverse Charge
Cash sale invoice Rs 479531,B2C,B2C
Agricultural produce sale Rs 486730,Exempt Supply,Exempt Supply
GTA transport service Rs 480267,Reverse Charge,Reverse Charge
Export software service to France Rs 218459,Export,Export
IT support service to Germany Rs 216512,Export,Export
Export GST refund Rs 376886,GST Refund,GST Refund
Consulting invoice to Australia Rs 12205,Export,Export
GST invoice raised on Google Rs 403223,B2B,B2B
Credit note for cancelled order Rs 495178,Credit Note,Credit Note
Debit note for freight charges Rs 169706,Debit Note,Debit Note
Legal service under reverse charge Rs 5793,Reverse Charge,Reverse Charge
Consulting invoice to Germany Rs 483825,Export,Export
Refund received under GST Rs 258528,GST Refund,GST Refund
Consumer electronics invoice Rs 342079,B2C,B2C
Educational service invoice Rs 361746,Exempt Supply,Exempt Supply
GST refund from department Rs 460357,GST Refund,GST Refund
Supplier debit adjustment Rs 307401,Debit Note,Debit Note
Corporate software license for Google Rs 427745,B2B,B2B
Debit note raised for additional tax Rs 88450,Debit Note,Debit Note
Consulting invoice to USA Rs 471251,Export,Export
Sales return credit note Rs 48214,Credit Note,Credit Note
Cash sale invoice Rs 98537,B2C,B2C
Director remuneration Rs 168429,Reverse Charge,Reverse Charge
Export of garments to France Rs 399047,Export,Export
Raw material imported from Australia Rs 32411,Import,Import
GST invoice raised on Amazon Rs 336390,B2B,B2B
Export of garments to USA Rs 159525,Export,Export
Debit note against shortage Rs 29724,Debit Note,Debit Note
Hospital treatment charges Rs 314149,Exempt Supply,Exempt Supply
Refund received under GST Rs 271721,GST Refund,GST Refund
IT support service to South Korea Rs 449131,Export,Export
Raw material imported from Japan Rs 367676,Import,Import
Export software service to China Rs 38469,Export,Export
Agricultural produce sale Rs 12923,Exempt Supply,Exempt Supply
GST refund received Rs 52144,GST Refund,GST Refund
Input GST refund Rs 492183,GST Refund,GST Refund
GST refund received Rs 354801,GST Refund,GST Refund
Invoice to Tata Steel Rs 439118,B2B,B2B
Export GST refund Rs 437413,GST Refund,GST Refund
Debit note raised for additional tax Rs 329970,Debit Note,Debit Note
Mobile phone sale bill Rs 194036,B2C,B2C
Credit note for cancelled order Rs 486526,Credit Note,Credit Note
Monthly GST tax payment Rs 85239,GST Payment,GST Payment
Hospital treatment charges Rs 320969,Exempt Supply,Exempt Supply
GST payment for current month Rs 30139,GST Payment,GST Payment
Supply of goods to Tech Mahindra Rs 93852,B2B,B2B
Hospital treatment charges Rs 406746,Exempt Supply,Exempt Supply
GST deposited through bank Rs 26157,GST Payment,GST Payment
Healthcare exempt supply Rs 492186,Exempt Supply,Exempt Supply
Director remuneration Rs 499503,Reverse Charge,Reverse Charge
IT support service to Australia Rs 436608,Export,Export
Reverse charge professional service Rs 136455,Reverse Charge,Reverse Charge
Walk-in customer invoice Rs 119467,B2C,B2C
Credit adjustment invoice Rs 352665,Credit Note,Credit Note
GST liability payment Rs 312711,GST Payment,GST Payment
Mobile phone sale bill Rs 128389,B2C,B2C
IT support service to China Rs 231535,Export,Export
Hardware purchase from Canada Rs 240353,Import,Import
GST payment challan Rs 49320,GST Payment,GST Payment
GST payment for current month Rs 198870,GST Payment,GST Payment
Input GST refund Rs 416195,GST Refund,GST Refund
GTA transport service Rs 31845,Reverse Charge,Reverse Charge
IT support service to Australia Rs 460099,Export,Export
Mobile phone sale bill Rs 167830,B2C,B2C
Retail customer purchase bill Rs 240692,B2C,B2C
Wholesale supply to Tata Steel Rs 138013,B2B,B2B
Export software service to China Rs 426550,Export,Export
Legal service under reverse charge Rs 341995,Reverse Charge,Reverse Charge
Consumer electronics invoice Rs 315213,B2C,B2C
Input GST refund Rs 447681,GST Refund,GST Refund
GST refund from department Rs 207769,GST Refund,GST Refund
Legal service under reverse charge Rs 209865,Reverse Charge,Reverse Charge
GST liability payment Rs 444426,GST Payment,GST Payment
Debit note for transport expenses Rs 183704,Debit Note,Debit Note
Corporate software license for Amazon Rs 206608,B2B,B2B
School tuition fees Rs 495693,Exempt Supply,Exempt Supply
Export software service to Germany Rs 183151,Export,Export
Monthly GST tax payment Rs 411674,GST Payment,GST Payment
Director remuneration Rs 40791,Reverse Charge,Reverse Charge
Healthcare exempt supply Rs 394125,Exempt Supply,Exempt Supply
GST liability payment Rs 129952,GST Payment,GST Payment
Import electronics from UK Rs 185163,Import,Import
Agricultural produce sale Rs 468500,Exempt Supply,Exempt Supply
Credit note issued against damaged goods Rs 109857,Credit Note,Credit Note
Director remuneration Rs 148179,Reverse Charge,Reverse Charge
Export GST refund Rs 148321,GST Refund,GST Refund
GST deposited through bank Rs 87130,GST Payment,GST Payment
Debit note against shortage Rs 497654,Debit Note,Debit Note
Consulting invoice to Singapore Rs 203103,Export,Export
GST refund received Rs 162817,GST Refund,GST Refund
Consumer electronics invoice Rs 101768,B2C,B2C
Educational service invoice Rs 89545,Exempt Supply,Exempt Supply
Invoice to Deloitte Rs 427120,B2B,B2B
Corporate software license for Tech Mahindra Rs 400440,B2B,B2B
GST payment challan Rs 74954,GST Payment,GST Payment
GST refund received Rs 294835,GST Refund,GST Refund
Consumer electronics invoice Rs 78489,B2C,B2C
GST refund received Rs 157263,GST Refund,GST Refund
Export software service to South Korea Rs 202087,Export,Export
Retail customer purchase bill Rs 301705,B2C,B2C
Industrial equipment imported from China Rs 215441,Import,Import
Import machinery from China Rs 14735,Import,Import
Educational service invoice Rs 395731,Exempt Supply,Exempt Supply
Retail customer purchase bill Rs 334007,B2C,B2C
School tuition fees Rs 484151,Exempt Supply,Exempt Supply
IT support service to Australia Rs 3843,Export,Export
School tuition fees Rs 2974,Exempt Supply,Exempt Supply
Walk-in customer invoice Rs 140760,B2C,B2C
Import electronics from USA Rs 438488,Import,Import
Credit note for cancelled order Rs 227796,Credit Note,Credit Note
Import electronics from Canada Rs 206788,Import,Import
Director remuneration Rs 463095,Reverse Charge,Reverse Charge
Agricultural produce sale Rs 490553,Exempt Supply,Exempt Supply
Walk-in customer invoice Rs 105128,B2C,B2C
Advocate service payment Rs 63965,Reverse Charge,Reverse Charge
Advocate service payment Rs 32237,Reverse Charge,Reverse Charge
Consulting invoice to USA Rs 483479,Export,Export
Corporate software license for Flipkart Rs 385425,B2B,B2B
Corporate software license for Tech Mahindra Rs 209054,B2B,B2B
Supply of goods to Wipro Rs 59655,B2B,B2B
Credit note for cancelled order Rs 431113,Credit Note,Credit Note
Credit note for cancelled order Rs 64589,Credit Note,Credit Note
Agricultural produce sale Rs 7156,Exempt Supply,Exempt Supply
Educational service invoice Rs 197388,Exempt Supply,Exempt Supply
Hospital treatment charges Rs 137541,Exempt Supply,Exempt Supply
GST payment challan Rs 391910,GST Payment,GST Payment
Cash sale invoice Rs 76696,B2C,B2C
Import machinery from Germany Rs 160767,Import,Import
Wholesale supply to Wipro Rs 24798,B2B,B2B
Mobile phone sale bill Rs 207673,B2C,B2C
GST deposited through bank Rs 373454,GST Payment,GST Payment
Refund received under GST Rs 79722,GST Refund,GST Refund
Invoice to Flipkart Rs 350511,B2B,B2B
Consulting invoice to France Rs 181700,Export,Export
GST invoice raised on Infosys Rs 440001,B2B,B2B
Healthcare exempt supply Rs 87447,Exempt Supply,Exempt Supply
GST invoice raised on Wipro Rs 403832,B2B,B2B
Mobile phone sale bill Rs 390347,B2C,B2C
Supply of goods to Wipro Rs 486451,B2B,B2B
Agricultural produce sale Rs 337387,Exempt Supply,Exempt Supply
Walk-in customer invoice Rs 469977,B2C,B2C
GST deposited through bank Rs 200549,GST Payment,GST Payment
IT support service to USA Rs 89118,Export,Export
GST invoice raised on Microsoft Rs 185422,B2B,B2B
Advocate service payment Rs 134601,Reverse Charge,Reverse Charge
Invoice to Accenture Rs 103993,B2B,B2B
Debit note against shortage Rs 352661,Debit Note,Debit Note
Debit note for freight charges Rs 436082,Debit Note,Debit Note
GST liability payment Rs 43645,GST Payment,GST Payment
Debit note for transport expenses Rs 420576,Debit Note,Debit Note
Hardware purchase from Japan Rs 151551,Import,Import
Export GST refund Rs 231680,GST Refund,GST Refund
GTA transport service Rs 270622,Reverse Charge,Reverse Charge
Walk-in customer invoice Rs 388064,B2C,B2C
Monthly GST tax payment Rs 339182,GST Payment,GST Payment
IT support service to France Rs 440616,Export,Export
Consulting invoice to China Rs 159713,Export,Export
Consulting invoice to Singapore Rs 100846,Export,Export
Supplier debit adjustment Rs 468771,Debit Note,Debit Note
GST payment challan Rs 62793,GST Payment,GST Payment
Director remuneration Rs 247094,Reverse Charge,Reverse Charge
Agricultural produce sale Rs 41279,Exempt Supply,Exempt Supply
Reverse charge professional service Rs 31726,Reverse Charge,Reverse Charge
Import machinery from China Rs 499377,Import,Import
Consulting invoice to Canada Rs 401686,Export,Export
Consulting invoice to South Korea Rs 206760,Export,Export
GST liability payment Rs 261968,GST Payment,GST Payment
Hardware purchase from Germany Rs 299056,Import,Import
