Invoice_Text,Actual,Predicted
Credit adjustment invoice Rs 453221,Credit Note,Credit Note
IT support service to USA Rs 346335,Export,Export
Agricultural produce sale Rs 312053,Exempt Supply,Exempt Supply
Healthcare exempt supply Rs 224840,Exempt Supply,Exempt Supply
Invoice to Microsoft Rs 261988,B2B,B2B
Raw material imported from Singapore Rs 468289,Import,Import
Debit note for transport expenses Rs 337416,Debit Note,Debit Note
Refund received under GST Rs 404150,GST Refund,GST Refund
Advocate service payment Rs 93421,Reverse Charge,Reverse Charge
Debit note for freight charges Rs 16258,Debit Note,Debit Note
Hardware purchase from South Korea Rs 231824,Import,Import
GST refund from department Rs 70245,GST Refund,GST Refund
Debit note for freight charges Rs 46306,Debit Note,Debit Note
GST invoice raised on Wipro Rs 151234,B2B,B2B
Credit adjustment invoice Rs 453097,Credit Note,Credit Note
Import electronics from China Rs 489446,Import,Import
Debit note raised for additional tax Rs 107847,Debit Note,Debit Note
Hardware purchase from China Rs 306707,Import,Import
Wholesale supply to TCS Rs 38956,B2B,B2B
Cash sale invoice Rs 284522,B2C,B2C
Retail customer purchase bill Rs 463443,B2C,B2C
Export of garments to France Rs 241505,Export,Export
GST payment challan Rs 343497,GST Payment,GST Payment
Credit adjustment invoice Rs 284598,Credit Note,Credit Note
GST liability payment Rs 355511,GST Payment,GST Payment
Consumer electronics invoice Rs 140636,B2C,B2C
GTA transport service Rs 263986,Reverse Charge,Reverse Charge
Debit note raised for additional tax Rs 334060,Debit Note,Debit Note
Invoice to HCL Rs 391398,B2B,B2B
Debit note for freight charges Rs 253673,Debit Note,Debit Note
School tuition fees Rs 434952,Exempt Supply,Exempt Supply
GST liability payment Rs 104892,GST Payment,GST Payment
Refund received under GST Rs 76012,GST Refund,GST Refund
Import machinery from Australia Rs 182607,Import,Import
GST liability payment Rs 214701,GST Payment,GST Payment
GST payment challan Rs 415814,GST Payment,GST Payment
Raw material imported from France Rs 211411,Import,Import
Hospital treatment charges Rs 398484,Exempt Supply,Exempt Supply
International client invoice South Korea Rs 96547,Export,Export
Credit note issued against damaged goods Rs 397549,Credit Note,Credit Note
Credit note for cancelled order Rs 244227,Credit Note,Credit Note
Hardware purchase from USA Rs 293087,Import,Import
Debit note raised for additional tax Rs 45321,Debit Note,Debit Note
Hospital treatment charges Rs 159759,Exempt Supply,Exempt Supply
GST refund from department Rs 480244,GST Refund,GST Refund
Cash sale invoice Rs 175501,B2C,B2C
Wholesale supply to Flipkart Rs 444690,B2B,B2B
Reverse charge professional service Rs 190145,Reverse Charge,Reverse Charge
International client invoice Japan Rs 141334,Export,Export
GTA transport service Rs 215640,Reverse Charge,Reverse Charge
Mobile phone sale bill Rs 243990,B2C,B2C
Corporate software license for Tata Steel Rs 335205,B2B,B2B
GST refund received Rs 409452,GST Refund,GST Refund
Agricultural produce sale Rs 238519,Exempt Supply,Exempt Supply
Credit note for cancelled order Rs 150355,Credit Note,Credit Note
GST refund received Rs 181031,GST Refund,GST Refund
Export of garments to Germany Rs 211837,Export,Export
Monthly GST tax payment Rs 234495,GST Payment,GST Payment
Consulting invoice to Singapore Rs 384879,Export,Export
GST refund from department Rs 26261,GST Refund,GST Refund
Sales return credit note Rs 291996,Credit Note,Credit Note
Corporate software license for Accenture Rs 445796,B2B,B2B
GST invoice raised on Accenture Rs 217114,B2B,B2B
Refund received under GST Rs 70131,GST Refund,GST Refund
Input GST refund Rs 271100,GST Refund,GST Refund
Debit note against shortage Rs 271057,Debit Note,Debit Note
Consumer electronics invoice Rs 27459,B2C,B2C
GTA transport service Rs 326834,Reverse Charge,Reverse Charge
Import electronics from Singapore Rs 35189,Import,Import
Debit note for transport expenses Rs 288487,Debit Note,Debit Note
Import electronics from Germany Rs 353758,Import,Import
Consulting invoice to UK Rs 90226,Export,Export
GST deposited through bank Rs 430522,GST Payment,GST Payment
Supply of goods to TCS Rs 190132,B2B,B2B
Agricultural produce sale Rs 305679,Exempt Supply,Exempt Supply
Import machinery from Australia Rs 410280,Import,Import
Debit note against shortage Rs 200388,Debit Note,Debit Note
Mobile phone sale bill Rs 338916,B2C,B2C
Consulting invoice to Canada Rs 296772,Export,Export
Import electronics from Australia Rs 232584,Import,Import
GST liability payment Rs 113088,GST Payment,GST Payment
Supply of goods to Reliance Rs 214880,B2B,B2B
Invoice to Accenture Rs 337941,B2B,B2B
Advocate service payment Rs 275426,Reverse Charge,Reverse Charge
Hardware purchase from USA Rs 233601,Import,Import
Debit note against shortage Rs 335989,Debit Note,Debit Note
Customer return credit note Rs 189046,Credit Note,Credit Note
Consumer electronics invoice Rs 214065,B2C,B2C
Sales return credit note Rs 300453,Credit Note,Credit Note
Director remuneration Rs 246753,Reverse Charge,Reverse Charge
Walk-in customer invoice Rs 18755,B2C,B2C
Reverse charge professional service Rs 442414,Reverse Charge,Reverse Charge
Educational service invoice Rs 176532,Exempt Supply,Exempt Supply
GST refund received Rs 476269,GST Refund,GST Refund
Reverse charge professional service Rs 42764,Reverse Charge,Reverse Charge
Credit note for cancelled order Rs 231744,Credit Note,Credit Note
Agricultural produce sale Rs 279203,Exempt Supply,Exempt Supply
Legal service under reverse charge Rs 2819,Reverse Charge,Reverse Charge
Export GST refund Rs 153096,GST Refund,GST Refund
Export of garments to Germany Rs 131796,Export,Export
Hardware purchase from Singapore Rs 53613,Import,Import
Export of garments to Singapore Rs 388899,Export,Export
Debit note for freight charges Rs 480195,Debit Note,Debit Note
Export GST refund Rs 30719,GST Refund,GST Refund
Monthly GST tax payment Rs 2764,GST Payment,GST Payment
Cash sale invoice Rs 313353,B2C,B2C
International client invoice Canada Rs 6900,Export,Export
Retail customer purchase bill Rs 47465,B2C,B2C
IT support service to UK Rs 5964,Export,Export
Import electronics from USA Rs 433829,Import,Import
International client invoice Canada Rs 144553,Export,Export
Credit adjustment invoice Rs 192663,Credit Note,Credit Note
Mobile phone sale bill Rs 314986,B2C,B2C
Export of garments to Australia Rs 239776,Export,Export
Supply of goods to ABC Pvt Ltd Rs 302759,B2B,B2B
Consumer electronics invoice Rs 372075,B2C,B2C
GST payment for current month Rs 270496,GST Payment,GST Payment
Credit adjustment invoice Rs 316014,Credit Note,Credit Note
IT support service to Germany Rs 304531,Export,Export
Debit note for freight charges Rs 309759,Debit Note,Debit Note
Debit note for freight charges Rs 186430,Debit Note,Debit Note
Consulting invoice to France Rs 142462,Export,Export
GTA transport service Rs 266355,Reverse Charge,Reverse Charge
Refund received under GST Rs 306678,GST Refund,GST Refund
GST liability payment Rs 59565,GST Payment,GST Payment
Credit note issued against damaged goods Rs 425824,Credit Note,Credit Note
Sales return credit note Rs 104653,Credit Note,Credit Note
Debit note for transport expenses Rs 156088,Debit Note,Debit Note
GST refund received Rs 422025,GST Refund,GST Refund
Monthly GST tax payment Rs 485926,GST Payment,GST Payment
Supply of goods to Google Rs 1950,B2B,B2B
Refund received under GST Rs 49270,GST Refund,GST Refund
Debit note raised for additional tax Rs 160498,Debit Note,Debit Note
IT support service to Canada Rs 198857,Export,Export
Hardware purchase from France Rs 259745,Import,Import
IT support service to Singapore Rs 116160,Export,Export
Mobile phone sale bill Rs 328102,B2C,B2C
Wholesale supply to Microsoft Rs 22418,B2B,B2B
Consulting invoice to USA Rs 254473,Export,Export
GST refund from department Rs 179354,GST Refund,GST Refund
Healthcare exempt supply Rs 399724,Exempt Supply,Exempt Supply
GTA transport service Rs 406660,Reverse Charge,Reverse Charge
GST invoice raised on HCL Rs 363334,B2B,B2B
GTA transport service Rs 59931,Reverse Charge,Reverse Charge
Credit adjustment invoice Rs 465729,Credit Note,Credit Note
Debit note for transport expenses Rs 176137,Debit Note,Debit Note
Legal service under reverse charge Rs 488826,Reverse Charge,Reverse Charge
GST liability payment Rs 178895,GST Payment,GST Payment
Supply of goods to Tata Steel Rs 61125,B2B,B2B
GST payment challan Rs 18754,GST Payment,GST Payment
Supply of goods to XYZ Industries Rs 170454,B2B,B2B
GST payment for current month Rs 6868,GST Payment,GST Payment
Customer return credit note Rs 76567,Credit Note,Credit Note
GST invoice raised on HCL Rs 240586,B2B,B2B
Debit note for transport expenses Rs 19169,Debit Note,Debit Note
Retail customer purchase bill Rs 490128,B2C,B2C
GST refund received Rs 207502,GST Refund,GST Refund
Export of garments to USA Rs 27125,Export,Export
GST refund received Rs 461527,GST Refund,GST Refund
Sales return credit note Rs 318178,Credit Note,Credit Note
GST payment for current month Rs 484937,GST Payment,GST Payment
Raw material imported from Australia Rs 150674,Import,Import
Monthly GST tax payment Rs 319551,GST Payment,GST Payment
GST payment challan Rs 445093,GST Payment,GST Payment
GST payment challan Rs 109954,GST Payment,GST Payment
Director remuneration Rs 255656,Reverse Charge,Reverse Charge
Consumer electronics invoice Rs 213363,B2C,B2C
GST payment for current month Rs 437962,GST Payment,GST Payment
GTA transport service Rs 15739,Reverse Charge,Reverse Charge
GST deposited through bank Rs 219326,GST Payment,GST Payment
Debit note for freight charges Rs 61759,Debit Note,Debit Note
Credit note issued against damaged goods Rs 470785,Credit Note,Credit Note
Debit note against shortage Rs 77612,Debit Note,Debit Note
School tuition fees Rs 39965,Exempt Supply,Exempt Supply
Debit note for transport expenses Rs 416224,Debit Note,Debit Note
Import electronics from France Rs 374267,Import,Import
Hardware purchase from Japan Rs 159551,Import,Import
Healthcare exempt supply Rs 88633,Exempt Supply,Exempt Supply
Customer return credit note Rs 58038,Credit Note,Credit Note
Wholesale supply to Tata Steel Rs 359991,B2B,B2B
Hardware purchase from China Rs 32672,Import,Import
International client invoice South Korea Rs 260320,Export,Export
Customer return credit note Rs 373881,Credit Note,Credit Note
International client invoice UK Rs 223697,Export,Export
GST deposited through bank Rs 207763,GST Payment,GST Payment
Reverse charge professional service Rs 53444,Reverse Charge,Reverse Charge
Advocate service payment Rs 393167,Reverse Charge,Reverse Charge
Industrial equipment imported from China Rs 157886,Import,Import
Mobile phone sale bill Rs 427420,B2C,B2C
Invoice to Infosys Rs 180632,B2B,B2B
IT support service to Canada Rs 33624,Export,Export
Healthcare exempt supply Rs 237545,Exempt Supply,Exempt Supply
Agricultural produce sale Rs 115270,Exempt Supply,Exempt Supply
Reverse charge professional service Rs 237873,Reverse Charge,Reverse Charge
Director remuneration Rs 78584,Reverse Charge,Reverse Charge
Wholesale supply to Wipro Rs 306026,B2B,B2B
Raw material imported from Australia Rs 60876,Import,Import
Hospital treatment charges Rs 429885,Exempt Supply,Exempt Supply
Consumer electronics invoice Rs 263192,B2C,B2C
Sales return credit note Rs 331490,Credit Note,Credit Note
Legal service under reverse charge Rs 276275,Reverse Charge,Reverse Charge
Corporate software license for Accenture Rs 412606,B2B,B2B
Debit note for freight charges Rs 238657,Debit Note,Debit Note
Debit note against shortage Rs 463144,Debit Note,Debit Note
Credit note for cancelled order Rs 263531,Credit Note,Credit Note
Hardware purchase from Japan Rs 483777,Import,Import
IT support service to UK Rs 228665,Export,Export
Walk-in customer invoice Rs 259230,B2C,B2C
Monthly GST tax payment Rs 485813,GST Payment,GST Payment
Educational service invoice Rs 279555,Exempt Supply,Exempt Supply
Invoice to Google Rs 305693,B2B,B2B
Customer return credit note Rs 49285,Credit Note,Credit Note
Cash sale invoice Rs 275101,B2C,B2C
GST liability payment Rs 362460,GST Payment,GST Payment
Reverse charge professional service Rs 145516,Reverse Charge,Reverse Charge
Mobile phone sale bill Rs 315825,B2C,B2C
Credit note for cancelled order Rs 443463,Credit Note,Credit Note
Supplier debit adjustment Rs 136748,Debit Note,Debit Note
Export software service to Japan Rs 145121,Export,Export
Debit note raised for additional tax Rs 226024,Debit Note,Debit Note
Input GST refund Rs 222739,GST Refund,GST Refund
Credit adjustment invoice Rs 420081,Credit Note,Credit Note
Credit note for cancelled order Rs 73799,Credit Note,Credit Note
Corporate software license for Tech Mahindra Rs 440305,B2B,B2B
Monthly GST tax payment Rs 88512,GST Payment,GST Payment
Mobile phone sale bill Rs 53862,B2C,B2C
Industrial equipment imported from China Rs 366938,Import,Import
Hardware purchase from UK Rs 449552,Import,Import
GST deposited through bank Rs 235243,GST Payment,GST Payment
Healthcare exempt supply Rs 221767,Exempt Supply,Exempt Supply
Sales return credit note Rs 308617,Credit Note,Credit Note
Walk-in customer invoice Rs 264245,B2C,B2C
GST refund received Rs 330021,GST Refund,GST Refund
Supply of goods to TCS Rs 448926,B2B,B2B
Input GST refund Rs 401314,GST Refund,GST Refund
Supplier debit adjustment Rs 240567,Debit Note,Debit Note
Debit note for transport expenses Rs 292806,Debit Note,Debit Note
Raw material imported from France Rs 497413,Import,Import
Consumer electronics invoice Rs 266318,B2C,B2C
Sales return credit note Rs 329566,Credit Note,Credit Note
Invoice to Deloitte Rs 213969,B2B,B2B
Consulting invoice to UK Rs 417637,Export,Export
Debit note for freight charges Rs 5879,Debit Note,Debit Note
Credit adjustment invoice Rs 160818,Credit Note,Credit Note
School tuition fees Rs 62461,Exempt Supply,Exempt Supply
Retail customer purchase bill Rs 181489,B2C,B2C
Supply of goods to TCS Rs 434480,B2B,B2B
Refund received under GST Rs 185232,GST Refund,GST Refund
Export of garments to France Rs 192449,Export,Export
GTA transport service Rs 157405,Reverse Charge,Reverse Charge
Export GST refund Rs 273326,GST Refund,GST Refund
Invoice to Deloitte Rs 169178,B2B,B2B
Monthly GST tax payment Rs 229077,GST Payment,GST Payment
Monthly GST tax payment Rs 305762,GST Payment,GST Payment
Customer return credit note Rs 445667,Credit Note,Credit Note
Debit note for transport expenses Rs 114603,Debit Note,Debit Note
Walk-in customer invoice Rs 382931,B2C,B2C
Refund received under GST Rs 359986,GST Refund,GST Refund
Debit note raised for additional tax Rs 404800,Debit Note,Debit Note
Sales return credit note Rs 56949,Credit Note,Credit Note
Refund received under GST Rs 351080,GST Refund,GST Refund
IT support service to China Rs 23690,Export,Export
Debit note raised for additional tax Rs 314972,Debit Note,Debit Note
Agricultural produce sale Rs 173220,Exempt Supply,Exempt Supply
Agricultural produce sale Rs 74438,Exempt Supply,Exempt Supply
Cash sale invoice Rs 29912,B2C,B2C
Hardware purchase from China Rs 262527,Import,Import
Legal service under reverse charge Rs 159947,Reverse Charge,Reverse Charge
Invoice to Infosys Rs 490532,B2B,B2B
Supplier debit adjustment Rs 203406,Debit Note,Debit Note
Consumer electronics invoice Rs 33142,B2C,B2C
Monthly GST tax payment Rs 298722,GST Payment,GST Payment
Customer return credit note Rs 334742,Credit Note,Credit Note
Consulting invoice to Canada Rs 212264,Export,Export
Refund received under GST Rs 240529,GST Refund,GST Refund
GST refund from department Rs 99564,GST Refund,GST Refund
Consulting invoice to France Rs 204676,Export,Export
International client invoice Singapore Rs 339743,Export,Export
Credit note issued against damaged goods Rs 12414,Credit Note,Credit Note
Healthcare exempt supply Rs 327981,Exempt Supply,Exempt Supply
Credit adjustment invoice Rs 263815,Credit Note,Credit Note
Customer return credit note Rs 6725,Credit Note,Credit Note
Walk-in customer invoice Rs 134930,B2C,B2C
GTA transport service Rs 26007,Reverse Charge,Reverse Charge
GST refund received Rs 153859,GST Refund,GST Refund
Consumer electronics invoice Rs 477882,B2C,B2C
Cash sale invoice Rs 433431,B2C,B2C
Legal service under reverse charge Rs 453909,Reverse Charge,Reverse Charge
Invoice to Infosys Rs 279457,B2B,B2B
Monthly GST tax payment Rs 418826,GST Payment,GST Payment
School tuition fees Rs 265193,Exempt Supply,Exempt Supply
Advocate service payment Rs 398172,Reverse Charge,Reverse Charge
GST refund received Rs 56825,GST Refund,GST Refund
Walk-in customer invoice Rs 121813,B2C,B2C
Credit note for cancelled order Rs 493257,Credit Note,Credit Note
Raw material imported from USA Rs 54324,Import,Import
Refund received under GST Rs 459222,GST Refund,GST Refund
Credit adjustment invoice Rs 297595,Credit Note,Credit Note
Debit note against shortage Rs 11600,Debit Note,Debit Note
Import electronics from South Korea Rs 150263,Import,Import
Hardware purchase from South Korea Rs 374306,Import,Import
Export GST refund Rs 31921,GST Refund,GST Refund
Credit note issued against damaged goods Rs 407980,Credit Note,Credit Note
Advocate service payment Rs 456293,Reverse Charge,Reverse Charge
Director remuneration Rs 253966,Reverse Charge,Reverse Charge
Sales return credit note Rs 109065,Credit Note,Credit Note
GST refund received Rs 192865,GST Refund,GST Refund
GST deposited through bank Rs 491638,GST Payment,GST Payment
Refund received under GST Rs 414866,GST Refund,GST Refund
GST refund from department Rs 346338,GST Refund,GST Refund
Legal service under reverse charge Rs 195121,Reverse Charge,Reverse Charge
Agricultural produce sale Rs 491077,Exempt Supply,Exempt Supply
Agricultural produce sale Rs 159422,Exempt Supply,Exempt Supply
GTA transport service Rs 246422,Reverse Charge,Reverse Charge
Cash sale invoice Rs 41439,B2C,B2C
GST refund from department Rs 490044,GST Refund,GST Refund
GST invoice raised on HCL Rs 340741,B2B,B2B
Refund received under GST Rs 428179,GST Refund,GST Refund
Debit note raised for additional tax Rs 345720,Debit Note,Debit Note
Debit note raised for additional tax Rs 381941,Debit Note,Debit Note
Input GST refund Rs 301219,GST Refund,GST Refund
Reverse charge professional service Rs 57540,Reverse Charge,Reverse Charge
GST payment for current month Rs 54490,GST Payment,GST Payment
Sales return credit note Rs 129235,Credit Note,Credit Note
Credit note for cancelled order Rs 34778,Credit Note,Credit Note
GST refund from department Rs 396167,GST Refund,GST Refund
Cash sale invoice Rs 337443,B2C,B2C
Debit note against shortage Rs 194287,Debit Note,Debit Note
Mobile phone sale bill Rs 365013,B2C,B2C
Wholesale supply to Tata Steel Rs 325831,B2B,B2B
GST payment for current month Rs 373745,GST Payment,GST Payment
Consulting invoice to UK Rs 210612,Export,Export
Debit note raised for additional tax Rs 439208,Debit Note,Debit Note
Debit note for freight charges Rs 387260,Debit Note,Debit Note
Consumer electronics invoice Rs 42856,B2C,B2C
Invoice to TCS Rs 193097,B2B,B2B
Import machinery from Singapore Rs 463459,Import,Import
Import machinery from Japan Rs 231024,Import,Import
GST deposited through bank Rs 251477,GST Payment,GST Payment
Export software service to USA Rs 393646,Export,Export
Export GST refund Rs 495226,GST Refund,GST Refund
Credit adjustment invoice Rs 191199,Credit Note,Credit Note
Mobile phone sale bill Rs 346709,B2C,B2C
Import electronics from Singapore Rs 393023,Import,Import
Supply of goods to HCL Rs 284599,B2B,B2B
Credit note issued against damaged goods Rs 299941,Credit Note,Credit Note
Mobile phone sale bill Rs 458352,B2C,B2C
Debit note for transport expenses Rs 423534,Debit Note,Debit Note
GTA transport service Rs 186017,Reverse Charge,Reverse Charge
Wholesale supply to Deloitte Rs 307324,B2B,B2B
Agricultural produce sale Rs 372259,Exempt Supply,Exempt Supply
Director remuneration Rs 359607,Reverse Charge,Reverse Charge
Supplier debit adjustment Rs 277169,Debit Note,Debit Note
Agricultural produce sale Rs 95066,Exempt Supply,Exempt Supply
GST refund received Rs 286119,GST Refund,GST Refund
Input GST refund Rs 144111,GST Refund,GST Refund
Healthcare exempt supply Rs 386711,Exempt Supply,Exempt Supply
Import electronics from Canada Rs 164539,Import,Import
Legal service under reverse charge Rs 136011,Reverse Charge,Reverse Charge
Sales return credit note Rs 140407,Credit Note,Credit Note
IT support service to Germany Rs 379499,Export,Export
Credit adjustment invoice Rs 384902,Credit Note,Credit Note
Debit note raised for additional tax Rs 412000,Debit Note,Debit Note
GST refund from department Rs 372106,GST Refund,GST Refund
Industrial equipment imported from Germany Rs 390963,Import,Import
Walk-in customer invoice Rs 359256,B2C,B2C
Director remuneration Rs 493987,Reverse Charge,Reverse Charge
Export GST refund Rs 289768,GST Refund,GST Refund
Hardware purchase from UK Rs 397336,Import,Import
Healthcare exempt supply Rs 39644,Exempt Supply,Exempt Supply
Consumer electronics invoice Rs 2001,B2C,B2C
Debit note for transport expenses Rs 31263,Debit Note,Debit Note
School tuition fees Rs 481258,Exempt Supply,Exempt Supply
Monthly GST tax payment Rs 255798,GST Payment,GST Payment
Hospital treatment charges Rs 103016,Exempt Supply,Exempt Supply
Input GST refund Rs 310045,GST Refund,GST Refund
Wholesale supply to Microsoft Rs 375705,B2B,B2B
Educational service invoice Rs 104011,Exempt Supply,Exempt Supply
International client invoice Australia Rs 201546,Export,Export
Hospital treatment charges Rs 38069,Exempt Supply,Exempt Supply
Import electronics from Singapore Rs 36877,Import,Import
Consumer electronics invoice Rs 57226,B2C,B2C
Corporate software license for Reliance Rs 171979,B2B,B2B
GST deposited through bank Rs 254168,GST Payment,GST Payment
GST invoice raised on Tech Mahindra Rs 5094,B2B,B2B
Input GST refund Rs 211378,GST Refund,GST Refund
Credit note issued against damaged goods Rs 418614,Credit Note,Credit Note
Educational service invoice Rs 157177,Exempt Supply,Exempt Supply
Sales return credit note Rs 245513,Credit Note,Credit Note
GST payment for current month Rs 40561,GST Payment,GST Payment
Wholesale supply to Infosys Rs 394604,B2B,B2B
Walk-in customer invoice Rs 192287,B2C,B2C
Debit note against shortage Rs 37057,Debit Note,Debit Note
Customer return credit note Rs 351159,Credit Note,Credit Note
Debit note raised for additional tax Rs 258314,Debit Note,Debit Note
Debit note against shortage Rs 460039,Debit Note,Debit Note
Sales return credit note Rs 243291,Credit Note,Credit Note
Corporate software license for Wipro Rs 474825,B2B,B2B
Agricultural produce sale Rs 277493,Exempt Supply,Exempt Supply
Import electronics from China Rs 14642,Import,Import
Hospital treatment charges Rs 254051,Exempt Supply,Exempt Supply
Debit note for freight charges Rs 134121,Debit Note,Debit Note
GTA transport service Rs 437817,Reverse Charge,Reverse Charge
Cash sale invoice Rs 249722,B2C,B2C
GST payment challan Rs 185911,GST Payment,GST Payment
GST deposited through bank Rs 252199,GST Payment,GST Payment
Legal service under reverse charge Rs 300902,Reverse Charge,Reverse Charge
GST refund received Rs 171584,GST Refund,GST Refund
Hospital treatment charges Rs 344875,Exempt Supply,Exempt Supply
Sales return credit note Rs 215940,Credit Note,Credit Note
Export GST refund Rs 376174,GST Refund,GST Refund
Debit note against shortage Rs 444326,Debit Note,Debit Note
Export GST refund Rs 123475,GST Refund,GST Refund
Corporate software license for HCL Rs 236076,B2B,B2B
GST deposited through bank Rs 110868,GST Payment,GST Payment
Consumer electronics invoice Rs 391811,B2C,B2C
GST deposited through bank Rs 80878,GST Payment,GST Payment
GST refund from department Rs 244964,GST Refund,GST Refund
School tuition fees Rs 210552,Exempt Supply,Exempt Supply
Advocate service payment Rs 285638,Reverse Charge,Reverse Charge
GST payment for current month Rs 60150,GST Payment,GST Payment
Advocate service payment Rs 243783,Reverse Charge,Reverse Charge
GST refund from department Rs 486575,GST Refund,GST Refund
Supplier debit adjustment Rs 388795,Debit Note,Debit Note
GST liability payment Rs 382646,GST Payment,GST Payment
Debit note for transport expenses Rs 113959,Debit Note,Debit Note
Debit note against shortage Rs 89219,Debit Note,Debit Note
Import electronics from Japan Rs 430910,Import,Import
IT support service to Australia Rs 321782,Export,Export
Customer return credit note Rs 349320,Credit Note,Credit Note
Debit note for transport expenses Rs 260874,Debit Note,Debit Note
Wholesale supply to Amazon Rs 460404,B2B,B2B
Input GST refund Rs 287885,GST Refund,GST Refund
Legal service under reverse charge Rs 310758,Reverse Charge,Reverse Charge
GST refund received Rs 51611,GST Refund,GST Refund
Wholesale supply to Tata Steel Rs 29794,B2B,B2B
GST deposited through bank Rs 356379,GST Payment,GST Payment
Credit note for cancelled order Rs 333919,Credit Note,Credit Note
Import machinery from UK Rs 290760,Import,Import
Credit adjustment invoice Rs 337439,Credit Note,Credit Note
Raw material imported from France Rs 422336,Import,Import
Credit note issued against damaged goods Rs 67118,Credit Note,Credit Note
Import electronics from Australia Rs 178913,Import,Import
Import machinery from South Korea Rs 287536,Import,Import
Credit adjustment invoice Rs 298236,Credit Note,Credit Note
Credit adjustment invoice Rs 291155,Credit Note,Credit Note
Debit note for freight charges Rs 37300,Debit Note,Debit Note
Director remuneration Rs 142273,Reverse Charge,Reverse Charge
Supplier debit adjustment Rs 276166,Debit Note,Debit Note
School tuition fees Rs 31006,Exempt Supply,Exempt Supply
Cash sale invoice Rs 102810,B2C,B2C
Healthcare exempt supply Rs 219421,Exempt Supply,Exempt Supply
GST payment for current month Rs 331837,GST Payment,GST Payment
Consumer electronics invoice Rs 173193,B2C,B2C
Credit adjustment invoice Rs 73560,Credit Note,Credit Note
Monthly GST tax payment Rs 59617,GST Payment,GST Payment
Advocate service payment Rs 51076,Reverse Charge,Reverse Charge
Legal service under reverse charge Rs 43540,Reverse Charge,Reverse Charge
GTA transport service Rs 374046,Reverse Charge,Reverse Charge
Healthcare exempt supply Rs 391045,Exempt Supply,Exempt Supply
Debit note for transport expenses Rs 13416,Debit Note,Debit Note
Export GST refund Rs 281395,GST Refund,GST Refund
Hardware purchase from China Rs 172769,Import,Import
Customer return credit note Rs 115881,Credit Note,Credit Note
Corporate software license for Wipro Rs 368680,B2B,B2B
GST deposited through bank Rs 274157,GST Payment,GST Payment
Supplier debit adjustment Rs 154236,Debit Note,Debit Note
Wholesale supply to Accenture Rs 431589,B2B,B2B
GST refund received Rs 53521,GST Refund,GST Refund
Sales return credit note Rs 248618,Credit Note,Credit Note
IT support service to UK Rs 52649,Export,Export
Customer return credit note Rs 213889,Credit Note,Credit Note
GST invoice raised on Tech Mahindra Rs 399372,B2B,B2B
Export of garments to Germany Rs 318058,Export,Export
Industrial equipment imported from China Rs 374723,Import,Import
Consulting invoice to Germany Rs 33656,Export,Export
Refund received under GST Rs 398138,GST Refund,GST Refund
Sales return credit note Rs 298527,Credit Note,Credit Note
Legal service under reverse charge Rs 286770,Reverse Charge,Reverse Charge
Industrial equipment imported from USA Rs 211749,Import,Import
GST deposited through bank Rs 31230,GST Payment,GST Payment
Legal service under reverse charge Rs 447961,Reverse Charge,Reverse Charge
GST payment for current month Rs 332918,GST Payment,GST Payment
Retail customer purchase bill Rs 218755,B2C,B2C
School tuition fees Rs 409441,Exempt Supply,Exempt Supply
Debit note for freight charges Rs 318839,Debit Note,Debit Note
GST liability payment Rs 490738,GST Payment,GST Payment
IT support service to UK Rs 271399,Export,Export
Director remuneration Rs 493801,Reverse Charge,Reverse Charge
Import electronics from France Rs 460964,Import,Import
Advocate service payment Rs 260075,Reverse Charge,Reverse Charge
Credit note issued against damaged goods Rs 130836,Credit Note,Credit Note
Wholesale supply to Infosys Rs 357543,B2B,B2B
Cash sale invoice Rs 176100,B2C,B2C
Consumer electronics invoice Rs 362246,B2C,B2C
Import electronics from USA Rs 168907,Import,Import
School tuition fees Rs 263170,Exempt Supply,Exempt Supply
Debit note for freight charges Rs 406904,Debit Note,Debit Note
GST payment challan Rs 486363,GST Payment,GST Payment
